Description, evaluation, std
Q50 error_cam_8pa_rot,0.005781953827920603,0.009186894142596134 
Q50 error_cam_8pa_tran,0.014703791037725237,0.04835724721621402 
Q50 error_cam_OURS_opt_res_ks_rot,0.0054035499282438105,0.013147037209104075 
Q50 error_cam_OURS_opt_res_ks_tran,0.013071578686677425,0.03936735631087331 
Q50 error_cam_8pa_opt_res_Rt_rot,0.004926216251412705,0.009307198443079204 
Q50 error_cam_8pa_opt_res_Rt_tran,0.01038052548633923,0.03903600670491066 
Q50 error_cam_OURS_opt_res_ks_Rt_rot,0.0049254663581524355,0.013877441628001575 
Q50 error_cam_OURS_opt_res_ks_Rt_tran,0.010369289985846266,0.03990378733406256 
Q50 error_cam_OURS_opt_res_Rtks_rot,0.004342262370024165,0.009508854390968893 
Q50 error_cam_OURS_opt_res_Rtks_tran,0.009302729773185546,0.03995969293160104 
Q50 loss_8pa,5.96784193016942e-06,1.125270394359823e-05 
Q50 loss_OURS_opt_res_ks,5.994131800337216e-06,1.1380917856945767e-05 
Q50 loss_8pa_opt_res_Rt,6.399548980063927e-06,1.407504864578362e-05 
Q50 loss_OURS_opt_res_ks_Rt,6.399518836372329e-06,1.4067510092374987e-05 
Q50 loss_OURS_opt_res_Rtks,6.419460558994147e-06,1.4529352365527641e-05 
Q50 time_8pa,1.0,0.0 
Q50 time_OURS_opt_res_ks,1.0934437082330577,0.29126511153612694 
Q50 time_8pa_opt_res_Rt,1.0470092334277576,0.19970572296028596 
Q50 time_OURS_opt_res_ks_Rt,1.1454036924114819,0.3109405379793429 
Q50 time_OURS_opt_res_Rtks,1.6066772219366143,0.8381725596696084 
8PA time,1.0,0.0
