Description, evaluation, std
Q50 error_cam_8pa_rot,0.02721060177776262,0.06402863906287508 
Q50 error_cam_8pa_tran,0.117701150254315,0.15675042521690508 
Q50 error_cam_OURS_opt_res_ks_rot,0.024968904777071983,0.06246155081222424 
Q50 error_cam_OURS_opt_res_ks_tran,0.10474203364163101,0.1520383550678809 
Q50 error_cam_8pa_opt_res_Rt_L2_rot,0.027226435454284638,0.06605085074366865 
Q50 error_cam_8pa_opt_res_Rt_L2_tran,0.08245703279531641,0.17983939046787967 
Q50 error_cam_OURS_opt_res_Rtks_rot,0.027210601777761793,0.0640461841112733 
Q50 error_cam_OURS_opt_res_Rtks_tran,0.117701150254315,0.15672965500997857 
Q50 error_cam_OURS_opt_res_ks_wRt_L2_rot,0.011657142655758623,0.06391181228967181 
Q50 error_cam_OURS_opt_res_ks_wRt_L2_tran,0.03771016611020533,0.2018398734303687 
Q50 error_cam_OURS_opt_res_ks_wRt_const_w_L2_rot,0.0192408908126242,0.06464553321934545 
Q50 error_cam_OURS_opt_res_ks_wRt_const_w_L2_tran,0.06274342957429609,0.15991624116157965 
Q50 error_cam_opt_wRt_L2_rot,0.011972098293584487,0.06554701891943247 
Q50 error_cam_opt_wRt_L2_tran,0.03874871374848721,0.21532969767803517 
Q50 error_cam_opt_wRt_constW_L2_rot,0.02107540187038306,0.06502130309315839 
Q50 error_cam_opt_wRt_constW_L2_tran,0.07466096862006504,0.16481446967627297 
Q50 loss_8pa,2.2481691922859642e-05,2.4824005279556426e-05 
Q50 loss_OURS_opt_res_ks,2.2529691811621736e-05,2.360607055525771e-05 
Q50 loss_8pa_opt_res_Rt_L2,2.5600440839738153e-05,2.778176562316669e-05 
Q50 loss_OURS_opt_res_Rtks,3.227781251447524e-05,4.874453209259212e-05 
Q50 loss_OURS_opt_res_ks_wRt_L2,3.040782127589356e-05,3.96991170713688e-05 
Q50 loss_OURS_opt_res_ks_wRt_const_w_L2,2.699908587252541e-05,3.049990605812526e-05 
Q50 loss_opt_wRt_L2,3.061764402143728e-05,3.926586192063753e-05 
Q50 loss_opt_wRt_constW_L2,2.774070858013326e-05,3.363643939406336e-05 
Q50 time_8pa,1.0,0.0 
Q50 time_OURS_opt_res_ks,1.4448458527275205,0.3694164938496596 
Q50 time_8pa_opt_res_Rt_L2,1.3487865039862572,0.42440499403908966 
Q50 time_OURS_opt_res_Rtks,2.0637283098456525,0.45175625781412654 
Q50 time_OURS_opt_res_ks_wRt_L2,3.8467006366727756,2.4873690771729247 
Q50 time_OURS_opt_res_ks_wRt_const_w_L2,2.0317911447654238,0.8233767488995165 
Q50 time_opt_wRt_L2,4.19679051167242,3.4276621933058355 
Q50 time_opt_wRt_constW_L2,1.5256462864177267,0.48649206644786375 
8PA time,1.0,0.0
