rot-8PA tran-8PA rot-n8PA tran-n8PA
0.238644860 1.814083788 0.242652256 1.803339454
1.072700625 5.089558875 1.078629874 5.052262118
0.560804984 1.316812362 0.549516528 1.325354658
1.945550773 7.353009093 2.141919872 7.182117405
0.367637812 1.753177128 0.361249898 1.722633646
0.153104545 0.257786713 0.149297062 0.263315499
0.285172417 1.336332471 0.286761665 1.324938770
0.237110816 0.715466222 0.244507376 0.689196922
0.802479952 0.511072660 0.770936412 0.566295305
0.362230943 1.391111971 0.371850830 1.385063007
0.690265955 1.492877720 0.719264067 1.451025631
0.972702635 1.409561589 0.971008123 1.454565875
0.203700934 0.870750317 0.202972364 0.870743797
0.278234858 1.061749681 0.273685627 1.076260536
3.264861801 7.268747351 3.258132900 7.295575823
0.456330930 1.203674792 0.453788555 1.192726236
2.569706505 5.614320597 2.329902659 8.504117014
1.557095671 1.098140443 1.742435570 1.952435907
0.618227783 3.856800169 0.623798579 3.834991441
0.564739677 2.191025713 0.567084761 2.183434518
1.212221045 5.198372603 1.128404885 4.652154814
0.204337691 0.355560658 0.204135164 0.355396720
0.210232352 0.357056910 0.215136455 0.361360576
0.614178906 1.224176497 0.615788259 1.229774114
0.476892716 1.651407726 0.533344423 1.649330104
0.201607828 0.335272124 0.201110970 0.331584965
0.845484636 1.405004648 0.846702366 1.436576590
1.023355631 6.415523420 1.030806548 6.368841372
0.125843157 0.149807732 0.123703808 0.155773285
0.713119356 3.197280313 0.663494477 2.934975507
0.775176325 0.468134900 0.774842320 0.469012435
1.908327321 4.176957794 1.916772190 1.979174556
0.505337327 1.015582079 0.531554910 1.037341045
0.164973273 0.629482376 0.166990628 0.623772456
0.624247651 0.438027894 0.644284260 0.431728573
0.756787756 0.639599952 0.748402606 0.694482765
0.118957208 0.064776369 0.118793645 0.064660575
0.223586137 0.347929321 0.242063030 0.339530457
0.239730419 0.134409229 0.236152331 0.136926705
1.537253055 6.296669692 1.985386592 17.323727128
0.253680003 0.660285683 0.261997920 0.638844542
0.263785492 0.612284598 0.262477290 0.635437307
0.202536993 0.445095266 0.198456311 0.439066062
1.385773896 2.566576794 1.388185630 2.509424558
0.720073566 0.057569444 0.733121910 0.029947686
0.418508362 0.820706753 0.402449860 0.770669921
0.625213676 1.017518892 0.561924922 1.117595161
0.203555388 0.576234680 0.206124367 0.582996785
0.269419779 1.646497295 0.272950858 1.689985534
0.262799813 0.696996808 0.270262724 0.687642398
0.506119624 1.292813955 0.519357025 1.189618753
0.127745617 0.389908837 0.132677908 0.385894517
1.351981387 9.027175430 1.633086117 12.536704305
0.671583234 0.967222301 0.629066409 1.003655468
0.269851369 0.257927353 0.270081138 0.256758991
0.249085677 0.719428318 0.232221363 0.747231080
0.498467190 1.813010533 0.473432177 1.851878840
0.864511259 8.544945754 0.861178969 8.558710838
0.266417314 0.416053398 0.269487420 0.403582586
0.455902801 1.983577302 0.478398603 1.875471239
1.040108719 7.660756110 0.991854412 7.685704428
1.246851734 3.937945067 1.239562805 3.801005763
1.472389087 3.438603164 1.508316744 3.378977053
0.269044914 1.021803521 0.288977910 1.017853508
0.620758048 0.898618157 0.612054404 0.936672671
0.275036996 1.336101325 0.276364659 1.349252340
1.808187866 5.886777203 2.036560511 5.850239106
0.335357066 0.716778113 0.329593659 0.705292103
0.864288071 6.339663768 0.898552790 6.164749212
0.415321677 1.387106914 0.409624594 1.365354688
0.549435607 0.496238030 0.566768323 0.470860041
0.540542989 3.323951042 0.537125582 3.876254793
0.823169800 2.047704518 0.979121358 2.108508716
0.666740103 1.036539922 0.672329017 1.036612809
0.620612831 3.991002366 0.624341996 4.023625866
1.012771204 6.166350292 0.931450022 6.145561067
1.250795436 0.450023327 1.304023398 0.475052566
0.363059399 0.766609259 0.366337566 0.768074931
0.348606477 0.473187853 0.339630326 0.470461150
0.348520552 1.542037592 0.348128682 1.540906166
0.156699233 0.477054090 0.157846112 0.482899512
0.876860188 2.412700901 0.895236038 2.549692786
0.198797761 0.670453918 0.193993340 0.660216016
0.273802370 1.439111663 0.271871315 1.426054277
0.047252641 0.250663418 0.046028711 0.247124814
0.187802639 0.271046801 0.188152295 0.269182029
0.600002060 7.705803111 0.646855573 6.661420166
0.301382078 1.103754486 0.308929833 1.083456189
0.210722841 0.453450428 0.211343088 0.482407122
1.234174538 7.663947260 1.233227100 7.666223026
0.638103500 1.379145261 0.632589706 1.367473453
0.632442606 1.303978074 0.646083406 1.282990613
0.891094089 1.652289820 0.856129368 1.697106055
1.568733694 3.421654924 1.565616306 3.433149225
1.064360667 1.382250454 1.949342577 22.612187306
0.396448745 1.294771251 0.396854142 1.284366451
0.723403334 9.720639469 0.715573432 9.546108841
2.003315516 10.198096023 2.012223281 10.194040669
1.151611630 0.411254955 1.146825849 0.368432080
0.292723014 0.697642876 0.301733196 0.714011485
0.337743919 0.663954548 0.334523756 0.662531573
0.262827426 0.514685169 0.259449006 0.509531074
0.330037839 1.433248389 0.360686131 1.418443454
0.362599661 6.518071007 0.486634295 6.105326677
0.386457493 0.772508100 0.383130148 0.755305778
0.244264945 2.979529904 0.293983172 2.639322564
0.145306174 0.598575192 0.140929579 0.585170348
0.662333358 8.384489253 1.805941558 16.076355396
2.720777577 13.068953034 2.808001860 12.719307916
0.143868669 1.332247999 0.151111214 1.367516439
0.408729959 1.680512529 0.423925765 1.617113194
0.576874585 3.854970496 0.612959289 3.819781428
0.279588129 0.248454988 0.280646117 0.252987691
0.042158539 0.334931823 0.043777037 0.337414799
0.773677216 0.792600860 0.776921641 0.819549804
0.324206814 1.426419837 0.323622681 1.429916364
0.783462912 7.346649957 0.767874506 7.331136466
1.823604077 9.849003133 1.824237735 9.858257812
0.174674728 0.391835341 0.174623043 0.386882834
1.725494273 2.691294973 1.762706815 2.549380230
0.710834437 0.489555534 0.729561471 0.715198671
1.100688905 2.534977588 1.167301457 2.181909534
0.236576758 0.338840481 0.231106093 0.340042835
0.148859662 0.578970031 0.149555453 0.577171805
0.136852034 0.939343073 0.130111604 0.935535783
0.986549359 7.756884531 1.351962181 18.574651032
0.153059274 0.710056171 0.146236329 0.689509028
2.375131283 5.739341809 2.333652505 5.613401591
1.197559068 1.637408475 1.185031773 1.665371786
0.373096124 2.798376008 0.385335992 2.734815460
0.838193556 1.714628996 0.857624636 1.697694215
1.063293993 2.174422703 1.059386924 2.216590189
0.122146448 3.710182880 0.255037780 3.909852170
1.385426245 3.070402764 1.404821902 3.049535609
0.049513509 0.175498860 0.049921702 0.177383044
0.128377127 0.813917774 0.126849823 0.802491095
0.948915355 9.998570375 0.942670382 9.891199867
0.659013913 4.115877003 0.695368979 3.875284584
0.046457662 0.241793884 0.048182412 0.249567761
0.126125803 0.112537133 0.122606518 0.116627420
0.451136074 0.226933263 0.444917384 0.268871625
0.430081082 1.379518075 0.444949866 1.375134983
0.686536518 2.921686518 0.695250825 2.842652272
1.145822372 5.161350545 1.138408731 5.089073363
0.112072255 0.453250948 0.111604790 0.454158250
1.359668516 16.603987394 1.381347186 16.580048692
0.964696189 1.774521968 0.997921302 1.773633124
0.477721926 2.018527207 0.441231263 1.954851665
0.300018725 0.512182508 0.306779584 0.510081661
1.111400607 2.062997516 1.115793011 2.050978462
0.038636020 0.387954493 0.038772111 0.387579206
0.105671965 0.477942503 0.106296031 0.468917305
0.918050629 3.998921781 1.046967993 4.024298881
0.132502413 0.274407874 0.132359261 0.274698739
0.085922777 0.420776118 0.085974781 0.420953977
0.391523992 1.310762072 0.370640927 1.260361151
3.402512849 4.555626672 3.367221763 4.559495150
0.277192129 0.599101285 0.280626943 0.593181814
0.309146794 1.178537553 0.311871689 1.198215677
1.064688190 1.066290023 1.056083333 1.047648537
0.963919100 1.874155128 0.963670521 1.964091532
0.669402014 2.035451058 0.689080941 1.974995612
0.585439195 1.465005055 0.580945446 1.562582656
0.409117134 1.663820103 0.391648702 1.653820481
0.706625549 3.754911973 0.717203362 3.697664123
0.782091153 5.053308030 0.732809028 4.472141457
0.921205215 1.414876382 0.896189863 1.320235080
0.720240950 0.813042368 0.725718526 0.825268696
0.958835383 0.750579554 0.957658751 0.733927229
0.476071134 0.218839277 0.472508815 0.223317901
0.243703022 0.271502978 0.244407324 0.274429949
0.395407575 1.556132689 0.352807936 1.500168476
0.625434187 5.303406713 0.561787406 4.844048252
0.367904818 1.374699263 0.363246124 1.408746421
0.418734637 1.924752116 0.397547313 1.988697981
0.479902513 0.612640982 0.457261902 0.586262202
0.670526007 3.471916053 0.781236335 3.345926332
0.143395171 0.999001741 0.143600624 0.998806047
0.201653089 1.182560636 0.202038223 1.184035696
0.632848238 1.102665442 0.633360108 1.075960067
0.139956454 0.626888551 0.140133973 0.626904845
0.659383491 2.254248977 0.681429110 2.280278496
0.281236123 0.647136355 0.282788604 0.709054516
0.385087018 4.122702915 0.386063614 4.117283770
1.953042017 1.357337846 2.015245046 1.139644640
1.133717511 3.923754229 1.126290786 3.893069764
0.479588119 1.404979444 0.470773299 1.344447710
0.228458945 0.391815104 0.239383344 0.394098844
0.939734489 2.090340599 0.876229163 2.094724779
0.272419801 0.147306269 0.266830692 0.134370775
0.161146011 0.107886512 0.163329568 0.110003946
0.199774574 0.362118527 0.207450966 0.361525435
1.798341908 5.922311955 1.039204429 24.807693420
0.395189965 0.834864361 0.383679982 0.773969546
0.550876923 1.227363305 0.544781990 1.187536762
0.146240341 0.503626353 0.143097207 0.508364491
0.688439517 2.243197518 0.640172212 2.011389055
0.764344198 4.638506269 0.912677719 4.571398038
0.410367132 1.420270555 0.409878872 1.429551452
0.338322539 0.593898442 0.343025744 0.577407756
0.702471374 3.996682325 0.716348390 3.875869153
1.200671576 3.676771293 1.154951513 3.498180180
0.471040764 1.659324980 0.465487861 1.538501279
0.707628786 0.837910394 0.708185789 0.830714362
0.476046179 0.545662724 0.476062602 0.611667571
0.586703000 1.160771055 0.580556872 1.162853192
0.358607347 0.497713056 0.358229714 0.515000305
0.075566701 0.355099105 0.076772084 0.355868134
0.188736512 0.285393217 0.199073437 0.283911850
0.807497848 2.305909595 0.822549418 2.329969689
0.280353501 0.457114258 0.274753583 0.456878768
0.136995809 0.246814505 0.138159184 0.240904978
0.351810513 0.167412136 0.358780878 0.158839623
1.106656235 1.368476750 1.062355917 1.327465839
0.356908298 2.106141048 0.364714223 2.002394704
0.595848748 1.521007922 0.559794103 1.545451481
0.385737620 0.486467457 0.382260578 0.477743469
0.103752635 0.432984408 0.103564075 0.433353766
0.214801238 2.361849395 0.232685074 2.265470690
0.101916040 0.234841925 0.099164575 0.222479319
0.915220342 3.342498965 0.864970361 3.181558944
