rot-8PA tran-8PA rot-n8PA tran-n8PA
0.001475684 0.003162684 0.001372806 0.002450953
0.002987556 0.002343033 0.002998150 0.002751753
0.004310506 0.005769971 0.003767072 0.005492889
0.001972129 0.002702958 0.001667535 0.002721462
0.001697098 0.004219190 0.001713225 0.004152689
0.002299447 0.004354374 0.002127875 0.003980207
0.001360023 0.002655436 0.001244487 0.002516384
0.001274503 0.003063812 0.001341957 0.003222074
0.001506832 0.002638479 0.001217264 0.001913055
0.001835526 0.003222909 0.001765774 0.003001821
0.003540487 0.006642921 0.003588994 0.006749295
0.004496788 0.002009410 0.004470891 0.001795937
0.001394495 0.002671937 0.001401421 0.002687327
0.001578738 0.005438141 0.001604160 0.004159842
0.002680946 0.001158598 0.002770307 0.001302029
0.001834396 0.003177188 0.001685714 0.002863288
0.000708971 0.001182313 0.000707269 0.001140481
0.001831757 0.006077452 0.001556203 0.005343471
0.003532772 0.003373783 0.003442225 0.003180070
0.001808966 0.009710673 0.001538312 0.008772073
0.004184188 0.004234018 0.004199208 0.004626722
0.001442243 0.002800906 0.001259610 0.002795757
0.002012166 0.003026910 0.001766727 0.002631505
0.000609055 0.001938948 0.000536787 0.001665621
0.001155354 0.000893248 0.001057511 0.000653884
0.001281874 0.001347970 0.001100506 0.001686786
0.001172218 0.002757693 0.001170159 0.002380016
0.002683415 0.003111543 0.002343042 0.002801851
0.001564209 0.001178487 0.001560666 0.001078648
0.001706943 0.002105342 0.001618838 0.001961268
0.001303304 0.009499952 0.001305509 0.009535134
0.003076645 0.001689013 0.002773149 0.001562936
0.002190128 0.008147665 0.001952066 0.007771589
0.003065305 0.002729875 0.002785296 0.002594932
0.002524006 0.008308095 0.002563663 0.008051214
0.000917991 0.000684169 0.000851595 0.000634990
0.004153468 0.004733083 0.003920910 0.004465954
0.002490852 0.003100945 0.002172669 0.002961851
0.001694773 0.006005763 0.001569079 0.005645123
0.003814944 0.008733272 0.002952284 0.007961783
0.001191345 0.003685109 0.001008053 0.003026674
0.002057612 0.006640673 0.001952753 0.006057299
0.002985755 0.002479608 0.002963151 0.002359847
0.000705873 0.001130991 0.000658389 0.000896804
0.000950100 0.003372415 0.000958671 0.003439665
0.000673100 0.004307415 0.000646032 0.004200949
0.004547153 0.003716734 0.003627319 0.003185191
0.001240901 0.002933776 0.001093453 0.002287089
0.003525120 0.003602299 0.003613964 0.003468398
0.002332645 0.004406554 0.002029414 0.004088404
0.005954293 0.006277496 0.005517816 0.005836102
0.000609450 0.007526400 0.000626631 0.006683360
0.000479990 0.003780030 0.000493063 0.003850414
0.002400137 0.001813195 0.002265679 0.001653244
0.000833789 0.002811415 0.000685851 0.002596061
0.003867291 0.007379663 0.003603187 0.006950012
0.002743231 0.002141148 0.002486219 0.001621576
0.001409743 0.001337548 0.001436930 0.001260531
0.001042007 0.000974991 0.000896434 0.001183746
0.000763985 0.002328446 0.000747673 0.002162801
0.002970891 0.005282701 0.002832842 0.005034384
0.000818593 0.004780481 0.000778045 0.004584241
0.001938863 0.004849753 0.001872052 0.004559271
0.001178828 0.002130168 0.001225860 0.002317931
0.000960239 0.004390237 0.000959383 0.004561015
0.002395868 0.004528087 0.002289883 0.004135277
0.002271131 0.005776907 0.002220988 0.005565245
0.001722163 0.001408367 0.001567147 0.001111227
0.001278068 0.000204409 0.001231396 0.000430183
0.002249890 0.002778929 0.002122285 0.002744599
0.002112994 0.003108314 0.002202840 0.003566513
0.001500452 0.001315644 0.001545504 0.001791260
0.004426782 0.006031267 0.003679756 0.005446044
