rot-8PA tran-8PA rot-n8PA tran-n8PA
0.004000455 0.010060370 0.004557449 0.023152735
0.008026512 0.029977233 0.010501970 0.015662382
0.002266857 0.006369046 0.001231261 0.005966858
0.002481763 0.002638669 0.001769364 0.003212181
0.010319453 0.008784313 0.017917424 0.019775599
0.011362878 0.008134849 0.006175412 0.024550282
0.014030033 0.017921616 0.023127046 0.032888083
0.004298690 0.004759621 0.004032209 0.006432364
0.007225047 0.015171722 0.006944740 0.014726261
0.007166923 0.009379048 0.004102317 0.002514459
0.002584255 0.006568651 0.002284940 0.010501595
0.040965745 0.055182712 0.073452054 0.089961594
0.005307730 0.001846233 0.003771241 0.011923640
0.028218844 0.078065937 0.093753156 0.191385638
0.005185802 0.002944177 0.006055512 0.004020363
0.009140853 0.040457258 0.005155488 0.038648927
0.021568000 0.084023572 0.033648704 0.106059113
0.016523845 0.030823432 0.030729311 0.050663846
0.009131879 0.009193399 0.014797188 0.015557700
0.008274615 0.012084522 0.033168999 0.030967751
0.012502203 0.041196457 0.015483339 0.041703794
0.003983153 0.003653098 0.010431856 0.009169748
0.004170839 0.004844017 0.002955420 0.007624168
0.005443932 0.013017897 0.005736338 0.011692276
0.003949817 0.002548329 0.008480161 0.005213342
0.004985043 0.005994631 0.004097082 0.005192789
0.008908907 0.011047456 0.023633566 0.040319103
0.013142519 0.011694005 0.012528447 0.025542161
0.002684605 0.004280451 0.010142311 0.004561430
0.003205509 0.004062642 0.002893634 0.005379964
0.008313353 0.007092643 0.007796672 0.006845803
0.009319843 0.013389017 0.009859203 0.025310599
0.009884171 0.010738037 0.031202941 0.042134998
0.009375630 0.012735108 0.016357124 0.023602530
0.003671652 0.002666829 0.009221173 0.014940982
0.010075132 0.006794908 0.003464719 0.007773026
0.003617889 0.004835805 0.000919938 0.006492815
0.004844311 0.000559016 0.006463993 0.005968568
0.002452193 0.003059783 0.004182448 0.003565727
0.003361683 0.017478822 0.089653346 0.125195265
0.002439338 0.005770379 0.001788001 0.005697418
0.006554337 0.007338959 0.006233650 0.015459701
0.010382571 0.015467611 0.013253375 0.018233077
0.015714362 0.028861648 0.023339294 0.023375130
0.007695819 0.003692063 0.009415071 0.004565326
0.006163966 0.013175491 0.008525788 0.019283923
0.006216776 0.008069191 0.005873655 0.008157758
0.007983798 0.012094267 0.006148148 0.013503502
0.004473234 0.008457541 0.008677159 0.019873313
0.023682830 0.084644901 0.043914054 0.128699426
0.009033416 0.007942184 0.004704740 0.007215206
0.004422981 0.003403963 0.003076311 0.007085199
0.002175045 0.004789832 0.004786526 0.001935453
0.010782411 0.043694841 0.026002473 0.035660379
0.010872225 0.009462026 0.029503921 0.037513549
0.007174792 0.006049343 0.006055147 0.006486474
0.010154194 0.012942305 0.015291519 0.030878970
0.013616782 0.007837651 0.015724572 0.018141109
0.004483133 0.000784008 0.003485153 0.001172452
0.007455653 0.005170119 0.013758331 0.016484142
0.033817721 0.044585409 0.015514654 0.032977254
0.015883061 0.006934268 0.016237074 0.017701133
0.034152467 0.048747217 0.031895847 0.050070611
0.004997996 0.007332232 0.016472429 0.014023829
0.010280344 0.018528286 0.008931124 0.022706702
0.011784857 0.012476795 0.016650629 0.021890328
0.012441718 0.021778652 0.002645041 0.007529945
0.003545391 0.005619251 0.003977648 0.004098317
0.038795899 0.054356993 0.054673928 0.082283876
0.004904994 0.003761470 0.008957613 0.006612453
0.006233256 0.008185463 0.006357465 0.010518789
0.009939322 0.033436684 0.094261481 0.188637885
0.007288373 0.007066413 0.007883814 0.005893992
0.002364801 0.004051344 0.001124123 0.003150324
0.015634111 0.033340950 0.020789506 0.033340528
0.007702193 0.003354939 0.006741391 0.006823685
0.003458276 0.005352791 0.003290519 0.008315075
0.006906181 0.010603631 0.013072982 0.018698920
0.029746783 0.044254471 0.009769938 0.008233820
0.006081345 0.015771142 0.013553583 0.043878244
0.004563905 0.008170263 0.006409740 0.003898227
0.009873061 0.008211361 0.009408739 0.010599293
0.010387595 0.010094080 0.009799747 0.019201925
