rot-8PA tran-8PA rot-n8PA tran-n8PA
0.038852549 0.444670506 0.038701379 0.421045909
0.210358116 0.589723852 0.207324878 0.524192713
0.024711007 0.185217434 0.024471134 0.183857304
0.022869295 0.109596681 0.022760478 0.109213358
0.079484262 0.273607446 0.078201716 0.278565838
0.062079950 0.431939369 0.062566919 0.444533090
0.091281117 0.287692082 0.120889274 0.285554123
0.997042899 0.442698897 0.026418641 0.551292046
0.009529549 0.061412492 0.016508300 0.025529149
0.046293562 0.272909736 0.045495116 0.264012432
0.133634864 0.562386418 0.141461155 0.575285387
0.118852601 0.565763807 0.128241889 0.560666360
0.029962968 0.145167827 0.029560149 0.143130064
0.124994018 0.684686497 0.145517336 0.658486115
0.104039806 0.809296142 0.117076971 0.836087260
0.095897007 0.331893570 0.094821615 0.323851941
0.074578967 0.168798812 0.052539955 0.136105397
0.021328280 0.107289274 0.019015085 0.100284409
0.065193580 0.159098813 0.042926510 0.090579300
0.021193979 0.117823881 0.020559005 0.114272632
0.059886508 0.205718081 0.060689754 0.196508201
0.056597044 0.194187298 0.121829913 0.244365084
0.053759963 0.139578358 0.049522688 0.126440737
0.102872008 0.313030910 0.102557708 0.311615988
0.331598048 0.499550129 0.363601650 0.476701730
0.037773463 0.062917383 0.033779996 0.060048217
0.015736979 0.110022461 0.015486819 0.107502227
0.003677437 0.017763056 0.005500190 0.007166158
0.083461910 0.769870369 0.080804668 0.796511795
0.026861267 0.149882284 0.021222941 0.113392294
0.072787707 0.422193271 0.071098946 0.434854122
0.045326220 0.226467414 0.043255937 0.218100674
0.025728208 0.064250040 0.028827417 0.068658878
0.015630789 0.113438211 0.015589872 0.111019657
0.004933539 0.095167043 0.004884035 0.095097932
0.031251203 0.016653179 0.029612772 0.007634479
0.057425459 0.661697250 0.054713567 0.674326707
0.044108074 0.090499570 0.043161890 0.087436006
0.027341267 0.095743408 0.018169559 0.064394577
0.071836304 0.135763037 0.224273113 0.304097520
0.053351545 0.285461490 0.055564010 0.293524600
0.024413174 0.137256669 0.024514052 0.137774810
0.091825688 0.457375564 0.105036737 0.474112962
0.078612161 0.725444527 0.045209380 0.137046520
0.039425332 0.066351282 0.036986064 0.069614086
0.009232673 0.052914394 0.006856272 0.039224056
