rot-8PA tran-8PA rot-n8PA tran-n8PA
0.001475684 0.003162684 0.001586168 0.003539766
0.002987556 0.002343033 0.003041476 0.002859513
0.004310506 0.005769971 0.003160125 0.005144634
0.001972129 0.002702958 0.001505769 0.002762167
0.001697098 0.004219190 0.001741625 0.004199002
0.002299447 0.004354374 0.002287365 0.004368233
0.001360023 0.002655436 0.001388527 0.002533715
0.001274503 0.003063812 0.001441658 0.003398224
0.001506832 0.002638479 0.001583380 0.002767255
0.001835526 0.003222909 0.001813305 0.003191247
0.003540487 0.006642921 0.003707917 0.006963194
0.004496788 0.002009410 0.004169011 0.001762182
0.001394495 0.002671937 0.001464059 0.002539467
0.001578738 0.005438141 0.001659068 0.003900015
0.002680946 0.001158598 0.002673528 0.001296063
0.001834396 0.003177188 0.001937725 0.003286009
0.000708971 0.001182313 0.000711235 0.000830206
0.001831757 0.006077452 0.001725230 0.005882838
0.003532772 0.003373783 0.003314934 0.002904528
0.001808966 0.009710673 0.001663011 0.009314727
0.004184188 0.004234018 0.004292919 0.004033401
0.001442243 0.002800906 0.001315470 0.002884267
0.002012166 0.003026910 0.001943276 0.002952061
0.000609055 0.001938948 0.000626360 0.002023202
0.001155354 0.000893248 0.001133486 0.000872123
0.001281874 0.001347970 0.001170389 0.001572554
0.001172218 0.002757693 0.001157920 0.002119492
0.002683415 0.003111543 0.002869440 0.003291210
0.001564209 0.001178487 0.001561243 0.000990630
0.001706943 0.002105342 0.001630918 0.001966993
0.001303304 0.009499952 0.001343730 0.009439391
0.003076645 0.001689013 0.002843166 0.001756133
0.002190128 0.008147665 0.002082493 0.007929106
0.003065305 0.002729875 0.002890487 0.002508859
0.002524006 0.008308095 0.002587941 0.007302508
0.000917991 0.000684169 0.000847315 0.000704268
0.004153468 0.004733083 0.004228073 0.004774724
0.002490852 0.003100945 0.001735382 0.002731809
0.001694773 0.006005763 0.001758478 0.006129511
0.003814944 0.008733272 0.003391719 0.007665848
0.001191345 0.003685109 0.001132555 0.003487677
0.002057612 0.006640673 0.002058539 0.006663160
0.002985755 0.002479608 0.002987038 0.002456223
0.000705873 0.001130991 0.000740826 0.001157288
0.000950100 0.003372415 0.000958793 0.003392161
0.000673100 0.004307415 0.000689866 0.004391253
0.004547153 0.003716734 0.002977139 0.003143254
0.001240901 0.002933776 0.001285374 0.003052980
0.003525120 0.003602299 0.003570344 0.003378877
0.002332645 0.004406554 0.002020961 0.003966239
0.005954293 0.006277496 0.005891108 0.006257229
0.000609450 0.007526400 0.000564493 0.007763480
0.000479990 0.003780030 0.000533859 0.004155165
0.002400137 0.001813195 0.002231535 0.001653194
0.000833789 0.002811415 0.000700677 0.002577757
0.003867291 0.007379663 0.004032203 0.007560593
0.002743231 0.002141148 0.002958932 0.002403831
