rot-8PA tran-8PA rot-n8PA tran-n8PA
0.038852549 0.444670506 0.039588307 0.461286353
0.210358116 0.589723852 0.156863216 0.607576728
0.024711007 0.185217434 0.022775000 0.175136822
0.022869295 0.109596681 0.021610085 0.105547456
0.079484262 0.273607446 0.068595118 0.281981919
0.062079950 0.431939369 0.097562974 0.443155354
0.091281117 0.287692082 0.138574954 0.281508974
0.997042899 0.442698897 0.025917211 0.554725716
0.009529549 0.061412492 0.014862749 0.021125640
0.046293562 0.272909736 0.075942494 0.223078357
0.133634864 0.562386418 0.141558656 0.595603995
0.118852601 0.565763807 0.125950113 0.558481746
0.029962968 0.145167827 0.030124314 0.146425912
0.124994018 0.684686497 0.128208895 0.675561239
0.104039806 0.809296142 0.149650571 0.873519538
0.095897007 0.331893570 0.097407993 0.336700618
0.074578967 0.168798812 0.042301807 0.114980401
0.021328280 0.107289274 0.013796488 0.083037561
0.065193580 0.159098813 0.040741888 0.087376457
0.021193979 0.117823881 0.017622525 0.096633768
0.059886508 0.205718081 0.060401442 0.201343769
0.056597044 0.194187298 0.113478711 0.239105617
0.053759963 0.139578358 0.051924320 0.141356165
0.102872008 0.313030910 0.101876288 0.277710760
0.331598048 0.499550129 0.255892770 0.527174709
0.037773463 0.062917383 0.030377725 0.061484123
0.015736979 0.110022461 0.015804095 0.110939350
0.003677437 0.017763056 0.009853530 0.028332690
0.083461910 0.769870369 0.069306553 0.142561833
0.026861267 0.149882284 0.019405747 0.104187696
0.072787707 0.422193271 0.066765597 0.430828139
0.045326220 0.226467414 0.046131812 0.189243697
0.025728208 0.064250040 0.033484256 0.073504191
0.015630789 0.113438211 0.015620379 0.112580010
0.004933539 0.095167043 0.004600817 0.094941565
0.031251203 0.016653179 0.027273539 0.008312714
0.057425459 0.661697250 0.055497879 0.669674573
0.044108074 0.090499570 0.040068258 0.077067899
0.027341267 0.095743408 0.035010038 0.117067531
0.071836304 0.135763037 0.183312264 0.263890930
0.053351545 0.285461490 0.106617467 0.348230979
0.024413174 0.137256669 0.024796832 0.139471268
0.091825688 0.457375564 0.093205057 0.460328993
0.078612161 0.725444527 0.033095498 0.092810130
0.039425332 0.066351282 0.037672009 0.072403630
0.009232673 0.052914394 0.008292672 0.018214081
0.041597264 0.121890000 0.041633633 0.122321641
0.058088245 0.208474122 0.075709160 0.208640544
0.004714807 0.030107020 0.004692806 0.030029208
0.027321661 0.065098068 0.028813786 0.066020415
0.067098728 0.264481942 0.015572095 0.128458493
0.046482175 0.121604955 0.045908231 0.121206781
0.061114583 0.443928786 0.060520744 0.444482647
0.022718399 0.185443892 0.021838455 0.190568740
0.063205892 0.644572480 0.071780929 0.704032186
0.026245651 0.188770651 0.026672054 0.192114063
0.041333362 0.214209611 0.041535494 0.215815092
0.037912544 0.111063709 0.032769643 0.079303148
0.018806262 0.115134671 0.013323126 0.084521317
0.098332734 0.457509561 0.099566241 0.280880467
0.039156285 0.067759598 0.036650359 0.061033128
0.005102347 0.017227067 0.008535479 0.020775006
0.020752295 0.174988477 0.054593148 0.087254808
0.082384594 0.167122791 0.081130536 0.170252761
0.038970625 0.152314729 0.039059421 0.155141773
0.016529520 0.086448406 0.016920523 0.088685102
0.051663032 0.223991135 0.051316623 0.226599322
0.113475682 0.794575646 0.111228916 0.795287123
0.035204880 0.218621481 0.035128132 0.218020697
0.075090047 0.099177765 0.058609012 0.097416656
0.019819671 0.127287729 0.020498791 0.128793756
0.086788369 0.260486900 0.130648139 0.248670487
0.052302747 0.531312561 0.048164428 0.539265164
0.033845253 0.154499898 0.033869021 0.159029074
0.049190540 0.266772401 0.047099861 0.283749205
0.022995009 0.110863507 0.023043691 0.112224262
0.059567216 0.369379506 0.059789950 0.370983154
0.073875920 0.114895444 0.065296210 0.105993415
0.068765211 0.293363756 0.071302541 0.314956840
0.107838875 0.220068940 0.102610266 0.220668928
0.060870048 0.139713246 0.066538571 0.130783535
0.076336341 0.217596153 0.076368608 0.219393360
0.065875959 0.426015015 0.066874140 0.428859057
0.074454296 0.279118892 0.076498971 0.283517790
0.088574782 0.421536092 0.087636331 0.406414897
0.030997091 0.120767954 0.012739137 0.013605638
0.056878082 0.205937426 0.057371158 0.208568038
0.030971594 0.119562651 0.030820178 0.119158121
0.518868642 0.562735679 0.085765040 0.228144485
0.089664019 0.345202938 0.103692646 0.262745089
0.007287714 0.008876216 0.005347273 0.009042435
0.031883389 0.085286018 0.028885421 0.075843536
0.066557903 0.175592151 0.060171396 0.154480163
0.074053353 0.386904549 0.075713756 0.390903803
0.164440644 0.551683842 0.163813756 0.555499871
0.097781818 0.081040254 0.096488655 0.078218117
0.014773945 0.139381731 0.014586184 0.136085537
0.115466896 0.652520146 0.119877363 0.655826515
0.072866392 0.418225965 0.070262218 0.420797663
0.085573365 0.415003091 0.066155214 0.330044102
0.112099072 0.233323249 0.046070185 0.138731823
0.085238218 0.253871134 0.087074936 0.257855052
0.110541919 0.654430942 0.081807066 0.763725764
0.044861993 0.205446741 0.060640498 0.864125325
0.051281463 0.204287097 0.032433703 0.197206969
0.106778756 0.549105225 0.118190391 0.558647056
0.014606320 0.146797963 0.008817545 0.137038425
0.096342256 0.456091669 0.089635624 0.407868910
0.055290011 0.117045276 0.044158163 0.105757131
0.012661097 0.032392861 0.012453852 0.034143692
0.016416742 0.042513308 0.016403855 0.028658516
0.024352314 0.102964297 0.026069378 0.107890131
0.072857523 0.114113754 0.069808764 0.112236912
0.050899262 0.278976338 0.046253171 0.173712903
0.011961043 0.044958200 0.012705429 0.047882718
0.018574666 0.017844250 0.017242152 0.015579327
0.075552976 0.448191913 0.071966276 0.522145120
0.048786052 0.218061683 0.048649914 0.216815805
0.036315961 0.156816438 0.036880239 0.161429811
0.068370355 0.093305182 0.064218208 0.093929949
0.028687835 0.104393953 0.028360089 0.103665818
0.073137661 0.320753588 0.072149732 0.326546357
0.082127154 0.358083222 0.082171987 0.362747638
0.041775718 0.244904080 0.043378252 0.252492439
0.084175977 0.195959004 0.092174978 0.180319687
0.045645021 0.838790029 0.045093762 0.158500202
0.016410621 0.050914925 0.016496716 0.051728017
0.017883167 0.051323292 0.012465662 0.038453772
0.028490075 0.045713407 0.017658206 0.031526077
0.311973027 0.282564642 0.155103425 0.334472043
0.083435035 0.464881084 0.082132311 0.463511484
0.061627373 0.213344955 0.062281215 0.214139700
0.077418343 0.185720286 0.076750123 0.186011515
0.025826974 0.116090054 0.024948067 0.114943677
0.055433019 0.501155144 0.082386949 0.205663550
0.095405919 0.560408670 0.097598892 0.565856054
0.016308343 0.046360626 0.016490269 0.049030407
0.333156591 0.496086625 0.256891740 0.518054282
0.022882345 0.076249079 0.026383925 0.091036802
0.046094291 0.118579827 0.045087196 0.125523438
0.103413617 0.418745163 0.095328579 0.423090683
0.051079052 0.354699126 0.070929836 0.342270893
0.099970861 0.348808822 0.098583702 0.349395187
0.009992155 0.045882841 0.010436782 0.047614166
0.071227409 0.629802600 0.067048331 0.702801130
0.037448727 0.421470365 0.030003819 0.113453206
0.066646787 0.208886036 0.078739133 0.181057768
0.098913283 0.147475831 0.097034187 0.165462488
0.012762380 0.063675306 0.014700976 0.065711322
0.013853025 0.025655122 0.009041529 0.017033103
0.030720753 0.107383701 0.027033373 0.105490105
0.048163621 0.331146779 0.047257834 0.341106438
0.068022101 0.266029232 0.071914191 0.265865036
0.140092180 0.321710837 0.143699690 0.291282132
0.059819856 0.118370913 0.059563820 0.119688429
0.030195793 0.209353744 0.031894908 0.219404133
0.063777948 0.142379191 0.046717155 0.099517053
0.024183661 0.076990652 0.022635852 0.075424751
0.036798464 0.367883597 0.036406218 0.369355720
0.034460734 0.125598731 0.037805867 0.137950923
0.134146218 0.350751765 0.133266808 0.357684787
0.060979021 0.374397625 0.060718283 0.376483342
0.077144984 0.269185382 0.085234962 0.131681774
0.120662446 0.687976767 0.122676133 0.689437247
0.085172783 0.440431878 0.145460706 0.464297039
0.054164702 0.557383726 0.053893539 0.559056244
0.092225478 0.533672300 0.099263973 0.542389867
0.034829420 0.175930921 0.030148051 0.154129225
0.021692610 0.085561580 0.021566084 0.053688288
0.019699780 0.152921591 0.020556059 0.156905099
0.064664109 0.484271567 0.064106312 0.487928882
0.310681739 0.453139282 0.197771915 0.527041740
0.087199216 0.571090171 0.089442047 0.573110906
0.036110872 0.145127704 0.036407257 0.146518503
0.007760679 0.037926202 0.004657208 0.027905933
0.056872269 0.295830481 0.060616490 0.317482160
0.011546251 0.035829249 0.014215406 0.034941828
0.059124668 0.273635670 0.056381364 0.268879343
0.048795376 0.076145876 0.042411692 0.077889648
0.053966702 0.342052977 0.116332705 0.379321847
0.109242416 0.586401896 0.113786872 0.579731892
0.012884562 0.101685907 0.012660524 0.100059150
0.085766095 0.118952561 0.072132100 0.098523533
0.022183314 0.047730870 0.021741109 0.042853360
0.020240720 0.060212482 0.018174589 0.057479274
0.012209394 0.049964149 0.009577438 0.021468327
0.098747208 0.384622898 0.098377256 0.385531854
0.012505435 0.072450947 0.011065123 0.052925377
0.092881850 0.240646239 0.100942108 0.227912345
0.047545847 0.215003538 0.042934026 0.206352159
0.010859945 0.145187766 0.011178624 0.152245219
0.060985184 0.312340982 0.059577562 0.319848879
0.064869981 0.293243582 0.064557355 0.300566128
0.025241258 0.194943298 0.025205778 0.194315189
0.060110199 0.178557643 0.059821926 0.183864048
0.052316816 0.695019015 0.031843378 0.105363478
0.052236682 0.260804807 0.051884325 0.265556989
0.148992866 0.498681305 0.138141495 0.537252747
0.212255132 0.665910626 0.210808381 0.668506880
0.048068918 0.086276728 0.048183570 0.087382031
0.079809660 0.656453466 0.078187752 0.659924007
0.012721908 0.039239437 0.012464317 0.040035000
0.076260302 0.767836921 0.026302639 0.034581533
0.029617814 0.032174321 0.026479843 0.029344234
0.136560992 0.601593638 0.136735454 0.594656402
0.062037650 0.263436689 0.062218919 0.267641981
