rot-8PA tran-8PA rot-n8PA tran-n8PA
0.005462851 0.010459566 0.005466335 0.010460200
0.005708452 0.003733735 0.005701866 0.003733943
0.008640592 0.005595547 0.008619184 0.005585462
0.007631703 0.005299653 0.007666414 0.005291534
0.004411049 0.004887169 0.004411021 0.004888085
0.012983644 0.020049587 0.013005085 0.020012786
0.003451253 0.003746789 0.003445066 0.003731279
0.009822776 0.013059318 0.009820896 0.013062554
0.003824838 0.007117451 0.003824700 0.007117034
0.002310884 0.003435302 0.002309888 0.003429527
0.010741586 0.007638714 0.010743242 0.007641373
0.009875729 0.007000106 0.009874416 0.007002254
0.003007460 0.005478662 0.003009498 0.005475986
0.005712569 0.009007645 0.005728832 0.009018290
0.008719343 0.005992323 0.008731586 0.005981156
0.012899525 0.018035015 0.012935659 0.018024358
0.007831370 0.004870052 0.007787346 0.004896329
0.008500627 0.012641386 0.008499460 0.012643402
0.006648189 0.000424347 0.006642782 0.000419441
0.009107662 0.010049651 0.009112016 0.010045923
0.001965713 0.008904513 0.001961410 0.008908517
0.013213360 0.011508459 0.013210905 0.011523458
0.002980185 0.008380115 0.002980149 0.008380134
0.007864416 0.010049005 0.007824512 0.009997736
0.008560901 0.003056528 0.008561213 0.003057222
0.001095017 0.005574889 0.001094977 0.005574913
0.001026082 0.002358565 0.001027034 0.002358623
0.010856107 0.011508911 0.010871691 0.011509064
0.006373130 0.015546556 0.006363750 0.015578003
0.012897895 0.012370241 0.012900806 0.012370449
0.008795030 0.014809141 0.008793874 0.014804021
0.008568628 0.007823342 0.008589344 0.007838353
0.009449561 0.009184584 0.009452060 0.009182524
0.003940910 0.004312775 0.003948479 0.004295910
0.012252615 0.009081103 0.012256546 0.009084339
0.008328125 0.004452003 0.008327583 0.004451659
0.017452638 0.016739920 0.017456010 0.016748255
0.004423155 0.002363601 0.004423301 0.002363724
0.005190536 0.009744328 0.005181095 0.009730980
0.002685432 0.004110025 0.002686267 0.004111011
0.007299328 0.004438936 0.007301445 0.004440319
0.005932823 0.002373000 0.005932543 0.002372993
0.021518845 0.011022223 0.021517670 0.011019112
0.010267458 0.016433264 0.010270569 0.016430827
0.006132626 0.002260289 0.006134280 0.002259849
0.008678080 0.006539715 0.008659783 0.006546723
0.019266623 0.008247979 0.019226743 0.008120149
0.006932646 0.007120151 0.006930804 0.007119385
0.010581468 0.048112023 0.010579185 0.048118995
0.010554219 0.011129059 0.010540748 0.011132107
0.008761779 0.015479326 0.008739785 0.015479044
0.001463902 0.001775213 0.001464804 0.001777729
0.015469537 0.015686515 0.015462177 0.015679915
0.004812004 0.006849086 0.004810948 0.006850211
0.003206269 0.004574772 0.003206226 0.004574219
0.010171323 0.014185081 0.010162789 0.014160464
0.004352481 0.004432805 0.004352660 0.004433012
0.002340943 0.004157333 0.002340734 0.004157219
0.003496335 0.006249142 0.003496751 0.006250540
0.006766068 0.004069540 0.006768399 0.004072016
0.018942163 0.009049857 0.018904051 0.009067001
