rot-8PA tran-8PA rot-n8PA tran-n8PA
0.005329537 0.017362425 0.005326238 0.017363399
0.002465848 0.006013653 0.002463534 0.006003278
0.006619339 0.010025225 0.006605489 0.009995048
0.009653821 0.005475145 0.009654620 0.005476004
0.003273414 0.002352362 0.003250494 0.002372110
0.003240162 0.007126024 0.003254911 0.007144388
0.004030520 0.013870100 0.003996523 0.013775372
0.005177636 0.003045067 0.005183439 0.003043430
0.004906289 0.002491154 0.004845582 0.002495488
0.002745314 0.002314054 0.002749359 0.002305889
0.007886722 0.018579236 0.007749264 0.018510268
0.004883394 0.005120301 0.004876750 0.005117702
0.007970597 0.013407060 0.007972235 0.013417015
0.008282136 0.006578056 0.008281357 0.006580822
0.008753797 0.011227324 0.008750263 0.011235359
0.002156226 0.002279223 0.002152125 0.002280908
0.007109554 0.004092813 0.007106359 0.004085640
0.014259376 0.021008066 0.014275902 0.021061497
0.005269346 0.009756637 0.005269679 0.009754444
0.004209323 0.002212075 0.004206383 0.002229497
0.015615617 0.023431903 0.015610832 0.023439568
0.012367192 0.265107237 0.012358739 0.265508305
0.004517840 0.010471514 0.004507152 0.010498963
0.015911307 0.015649256 0.015941345 0.015693445
0.002555056 0.005282897 0.002555665 0.005274647
0.005351079 0.006111991 0.005344815 0.006105717
0.002270855 0.005799328 0.002270636 0.005807570
0.016325335 0.039412821 0.016302529 0.039473353
0.085601552 0.143792814 0.085525802 0.143627795
0.004232340 0.003979395 0.004232663 0.003981160
0.014461025 0.035467399 0.014455011 0.035446645
0.003008836 0.006274220 0.003006253 0.006272409
0.024681560 0.035044043 0.024572765 0.035221067
0.003511238 0.006803776 0.003513485 0.006806530
0.002606909 0.002972969 0.002596610 0.002960403
0.009747828 0.014742728 0.009719409 0.014699778
0.003417507 0.004485464 0.003416818 0.004485242
0.005608149 0.038700633 0.005578732 0.038513687
0.008438639 0.023426058 0.008457658 0.023120075
0.009764402 0.003619564 0.009767325 0.003621433
0.012411519 0.014256912 0.012430991 0.014261495
0.009661632 0.010489423 0.009686621 0.010380064
0.001976573 0.005531193 0.001965885 0.005550651
0.010933607 0.007225042 0.010903742 0.007202444
0.011595298 0.011794171 0.011586558 0.011786101
0.005854189 0.021421116 0.005850399 0.021486710
0.008452737 0.013299160 0.008452214 0.013297218
0.006041140 0.006921389 0.006050688 0.006908358
0.002665307 0.003422380 0.002660250 0.003414893
0.008058237 0.004908107 0.008063020 0.004908012
0.007452941 0.004201970 0.007446565 0.004187285
0.023771406 0.390709682 0.023738758 0.391143405
0.006327269 0.004905995 0.006256620 0.005032048
0.031788116 0.175080852 0.031267607 0.171929413
0.003977051 0.006322096 0.003975142 0.006291136
0.010177344 0.006751260 0.010103284 0.006718527
0.010557458 0.005820136 0.010552851 0.005824244
0.009059492 0.010769092 0.009040583 0.010776174
0.013847658 0.011024926 0.013842575 0.011019166
0.008957201 0.034594325 0.009121519 0.034393286
0.006792016 0.006534179 0.006824604 0.006561478
0.025030861 0.059998768 0.025058575 0.060046037
0.004723150 0.028374917 0.004715449 0.028132863
0.006727783 0.004143590 0.006719855 0.004162593
0.007294718 0.015273842 0.007332649 0.015331491
0.002801595 0.005782957 0.002827477 0.005778811
0.002585618 0.003155898 0.002584499 0.003152976
0.023839519 0.011730979 0.023509841 0.012120960
0.022112935 0.180044674 0.022118798 0.180028638
0.021173890 0.054743724 0.021207660 0.054797069
0.004577449 0.002779292 0.004594399 0.002778278
0.013578033 0.024085004 0.013577001 0.024052626
0.003731464 0.006330003 0.003729513 0.006327273
0.006627196 0.007908632 0.006626138 0.007977401
0.009820755 0.008468163 0.009883241 0.008412371
0.001472691 0.011322317 0.001486456 0.011323243
0.012237369 0.002255007 0.012235074 0.002255213
0.019080922 0.013422803 0.019097699 0.013429202
0.004595612 0.016716037 0.004605428 0.016952100
0.061764676 0.068473861 0.061611825 0.068300251
0.007435922 0.003348811 0.007410712 0.003346153
0.003914736 0.003122155 0.003909078 0.003126858
0.003201433 0.012046618 0.003205213 0.012063685
0.006653614 0.003703737 0.006692260 0.003639713
0.006069480 0.010266648 0.006066528 0.010265409
0.004922533 0.010685305 0.004913705 0.010654813
0.011526365 0.012107677 0.011508216 0.012111638
0.006633400 0.009877988 0.006549818 0.009572668
0.000542990 0.009295945 0.000566252 0.009258489
0.003550961 0.010614890 0.003570030 0.010114308
0.004944854 0.004681850 0.004944012 0.004679087
0.006263969 0.005817855 0.006288861 0.005807489
0.019010209 0.016404048 0.019007947 0.016407861
0.003653412 0.004919906 0.003636541 0.004849423
0.008732241 0.004087909 0.008723610 0.004094177
0.031265999 0.273731198 0.031256857 0.273735175
0.012706847 0.006994784 0.012821696 0.006780805
0.006192858 0.008748504 0.006192287 0.008801400
0.007667183 0.007983017 0.007692435 0.008052940
0.007631470 0.025806202 0.007934755 0.026498752
0.009440976 0.003527131 0.009508188 0.003562627
0.004982850 0.013580542 0.004934537 0.013829428
0.021886782 0.021648736 0.021879907 0.021678560
0.006770120 0.017823409 0.006765053 0.017839602
0.006121275 0.001425896 0.006121186 0.001451165
0.009325522 0.018353503 0.009310292 0.018317041
0.002724921 0.003877587 0.002734104 0.003878880
0.004306814 0.005749669 0.004304174 0.005768495
0.007845054 0.013907321 0.007843559 0.013913148
0.003909547 0.000937139 0.003909367 0.000937172
0.008646429 0.007977292 0.008672062 0.008037906
0.029192471 0.280514993 0.029134681 0.279259643
0.029057320 0.042074347 0.029036560 0.041931696
0.003876319 0.004528807 0.003868977 0.004522858
0.016470853 0.001772740 0.016468105 0.001772810
0.007611607 0.010942119 0.007593023 0.010999769
0.003039465 0.000441307 0.003038215 0.000446707
0.001253784 0.005257302 0.001261894 0.005266552
0.005409923 0.008914423 0.005412360 0.008922856
0.004351987 0.007031979 0.004353422 0.007030574
0.007504700 0.005612713 0.007481673 0.005541073
0.004814330 0.011121988 0.004873867 0.011217481
0.007145314 0.017380669 0.007136728 0.017332995
0.002750444 0.008881289 0.002752609 0.008884932
0.002863554 0.001101380 0.002863448 0.001119131
0.011037509 0.011898260 0.011020492 0.011857319
0.009809301 0.024046912 0.009749729 0.023780804
0.001865953 0.003362086 0.001863828 0.003365071
0.002437078 0.006474994 0.002436274 0.006524205
0.004939036 0.002861267 0.004924867 0.002868134
0.003278838 0.003527534 0.003278076 0.003531365
0.008308303 0.015936838 0.008311657 0.015853212
0.025155530 0.032778481 0.025065319 0.032614224
0.004598059 0.023682655 0.004585299 0.023539462
0.003627567 0.001271102 0.003631905 0.001271214
0.002962881 0.002594885 0.002962719 0.002594988
0.011943358 0.028356360 0.011957359 0.028454686
0.020636468 0.014565761 0.020617993 0.014549043
0.007172245 0.007952421 0.007154395 0.007933050
0.006198032 0.008235982 0.006198075 0.008228875
0.006736059 0.001698647 0.006547130 0.001801312
0.009523524 0.010683989 0.009499512 0.010575892
0.009048247 0.005994657 0.009019445 0.005978472
0.005606142 0.003240168 0.005613860 0.003234658
0.005204742 0.001430912 0.005189007 0.001424021
0.002407198 0.007597253 0.002408329 0.007602133
0.004345295 0.004510819 0.004344021 0.004510083
0.009799531 0.014057304 0.009801376 0.014020757
0.014799565 0.030381565 0.014798598 0.030325369
0.007509042 0.007346686 0.007531348 0.007418890
0.010787249 0.027258847 0.010781270 0.027192417
0.030351444 0.019961973 0.030297164 0.019865036
0.005699413 0.012550503 0.005692541 0.012392326
0.003026534 0.004930622 0.003026323 0.004929996
0.031773988 0.061657490 0.031760979 0.061706179
0.007509802 0.018622233 0.007510795 0.018551692
0.024733156 0.046472765 0.024696245 0.046389571
0.003443263 0.002890007 0.003445112 0.002888302
0.007595410 0.014491969 0.007594164 0.014474131
0.009537588 0.008038485 0.009538041 0.007999070
0.005418825 0.006626267 0.005411954 0.006658533
0.012945621 0.008947638 0.012944180 0.008958851
0.003876832 0.005830708 0.003883155 0.005830776
0.007727883 0.026329621 0.007738010 0.026413699
0.005471686 0.002839783 0.005475993 0.002841498
0.008305298 0.003938078 0.008326665 0.003912831
0.038063100 0.073259696 0.038325102 0.073853888
0.014954979 0.045765351 0.014948427 0.045749788
0.022074945 0.013701243 0.022066072 0.013695107
0.005311025 0.001701852 0.005308859 0.001698824
0.015961090 0.056418576 0.015954040 0.056395899
0.004024137 0.001773608 0.004020745 0.001787222
0.023058003 0.040536989 0.023051222 0.040510449
0.008699038 0.011678516 0.008718152 0.011588306
0.017213033 0.029354256 0.017221474 0.029416367
0.019752698 0.014718052 0.019799832 0.014635449
0.006776684 0.018004852 0.006783197 0.018028780
0.013894615 0.172784960 0.013816802 0.168471906
0.007274952 0.015451704 0.007223897 0.015357649
0.005454339 0.009870441 0.005441893 0.009832070
0.012003107 0.022038518 0.011959957 0.021955891
0.012778982 0.014547564 0.012785469 0.014545659
0.004186581 0.004939090 0.004191554 0.004943238
0.020368657 0.025473882 0.020354061 0.025443940
0.012233595 0.008777371 0.012249138 0.008843745
0.013226723 0.042311693 0.013466256 0.041702802
0.001837544 0.003115482 0.001840411 0.003115201
0.008286966 0.019361825 0.008287544 0.019365313
0.009362504 0.023859426 0.009362680 0.023860099
0.017114403 0.014916706 0.017161885 0.014852205
0.019031341 0.032555215 0.019154876 0.031847345
0.004992002 0.009159506 0.004992736 0.009160749
0.014591736 0.013930808 0.014621540 0.013982542
0.007507878 0.005347014 0.007496553 0.005343416
0.006633180 0.008226132 0.006663664 0.008187900
0.007440623 0.012156762 0.007538248 0.012136865
0.004346142 0.028945390 0.004380955 0.029194458
0.011822862 0.013865103 0.011879361 0.014132476
0.011802339 0.003038285 0.011806282 0.003036662
0.035763244 0.049679391 0.035542625 0.049176857
0.006292987 0.006790511 0.006293185 0.006782141
0.032399762 0.051497196 0.032398004 0.051790061
0.008666547 0.001582812 0.008667915 0.001583669
0.002427751 0.014061037 0.002435894 0.014000423
0.024264641 0.040855451 0.024242458 0.040793724
0.005677086 0.011719176 0.005702452 0.011798290
0.015018140 0.004829531 0.015003407 0.004821235
0.007627987 0.014487190 0.007640547 0.014567121
0.007689171 0.008992425 0.007587548 0.008930392
0.010386252 0.061781512 0.010460585 0.062185755
0.013319912 0.005413539 0.013323254 0.005410567
0.009757098 0.019767219 0.009757181 0.019766686
0.006586631 0.007093134 0.006599083 0.007122114
0.031099746 0.143407863 0.031112373 0.143030881
0.005851223 0.003435109 0.005852711 0.003449079
0.008253885 0.016327979 0.008271759 0.016388912
0.018501484 0.025511307 0.018528998 0.025480026
0.004282509 0.006043932 0.004280668 0.006039294
0.011195049 0.003420000 0.011195679 0.003419247
0.006383121 0.002070706 0.006396868 0.002093616
0.005792940 0.005527661 0.005795384 0.005539282
0.005777990 0.003404881 0.005776883 0.003403608
0.002405241 0.003538783 0.002378128 0.003240736
0.013381242 0.027892907 0.013403015 0.027864294
0.003113741 0.009706028 0.003112284 0.009711779
0.020055798 0.009262050 0.019937854 0.009200142
0.003204152 0.006238242 0.003204151 0.006126491
0.006105008 0.013841844 0.006111833 0.013863190
0.004654849 0.002593612 0.004646839 0.002593457
0.010500847 0.016148588 0.010496533 0.016131892
0.010071321 0.002950934 0.010078806 0.002953926
0.010459351 0.021294919 0.010459607 0.021289022
0.006043659 0.003381297 0.006044987 0.003382882
0.015957015 0.018322216 0.015943901 0.018278380
0.002993769 0.004749816 0.002994332 0.004751413
0.004735413 0.006359871 0.004745327 0.006402928
0.002415537 0.006568303 0.002411578 0.006609592
0.012927167 0.013723563 0.012919272 0.013727490
0.003664435 0.014254849 0.003664910 0.014257259
0.003573201 0.003304970 0.003573348 0.003304625
0.018127335 0.001574161 0.018124433 0.001587424
0.010070676 0.018229074 0.010070217 0.018228631
0.003859934 0.004904209 0.003855172 0.004911001
0.009696349 0.029882135 0.009681003 0.029729125
0.002545535 0.005128115 0.002546441 0.005128270
0.009859598 0.022563897 0.009810842 0.022782907
0.027205725 0.159202896 0.027204639 0.159262190
0.004483400 0.015775664 0.004471764 0.015739601
0.013849286 0.012113863 0.013785366 0.012119138
0.002963291 0.004381869 0.002954465 0.004404670
0.006337733 0.012980240 0.006336857 0.013000806
0.003038356 0.006244594 0.003038890 0.006244010
0.010820612 0.049354618 0.010818260 0.049335059
0.014789047 0.007767950 0.014744722 0.007729257
0.008125119 0.011555306 0.008126179 0.011556427
0.002745654 0.004774372 0.002745492 0.004771982
0.037770388 0.262309141 0.037700175 0.260787294
0.024017626 0.067507412 0.024034865 0.067522001
0.001688368 0.001823718 0.001694586 0.001827025
0.001996127 0.014443529 0.002000958 0.014490578
0.010253905 0.008301800 0.010252246 0.008299386
0.007791843 0.005128811 0.007794247 0.005129412
0.002271678 0.000724444 0.002270964 0.000734801
0.006576081 0.015655304 0.006564274 0.015578113
0.005988798 0.007140371 0.005987913 0.007140697
0.006952103 0.009199421 0.006950781 0.009190768
0.003881037 0.002802003 0.003873847 0.002696344
0.005150998 0.003014301 0.005201050 0.003004972
0.010312253 0.026115506 0.010313941 0.026134665
0.003633911 0.009295642 0.003667551 0.009311715
0.005553183 0.002126705 0.005527914 0.002108616
0.003669942 0.001294263 0.003671295 0.001264846
0.006905692 0.002144647 0.006902968 0.002159161
0.021506266 0.020771420 0.021505855 0.020775237
0.003666572 0.010445131 0.003654712 0.010442388
0.004680781 0.007931776 0.004646803 0.007872020
0.004972586 0.008752880 0.004967558 0.008741662
0.010255757 0.013244479 0.010274389 0.013661766
0.024266742 0.002589468 0.024190219 0.002582320
0.006006256 0.027961539 0.006009686 0.027994315
0.001216747 0.003950039 0.001214685 0.003948118
0.016839225 0.021965018 0.016869433 0.022034620
0.018252369 0.015533678 0.018064635 0.015583194
0.004474230 0.012550986 0.004459203 0.012515233
0.012420707 0.012095844 0.012420125 0.012114469
0.015870882 0.027478128 0.015868402 0.027454558
0.026181041 0.018959586 0.026269080 0.019019609
0.003071936 0.007218339 0.003070419 0.007229684
0.006304223 0.010076682 0.006321005 0.010111625
0.004302246 0.030860429 0.004290665 0.032074418
0.003130471 0.003061167 0.003134064 0.003068480
0.010352420 0.010269623 0.010281968 0.010214599
0.010032242 0.025529440 0.010023070 0.025546041
0.020387922 0.027904780 0.020386560 0.027910574
0.007548145 0.011942219 0.007580859 0.011986301
0.004382123 0.005572784 0.004523966 0.005611126
0.004704401 0.022108147 0.004700215 0.022039629
0.004563388 0.021627728 0.004562029 0.021610962
0.002207565 0.007444634 0.002182427 0.007381323
0.014082032 0.038285297 0.014127154 0.038462775
0.014257127 0.010764060 0.014206492 0.010633157
0.011301140 0.031183656 0.011296673 0.031167337
0.003169200 0.007076707 0.003121784 0.007100102
0.001396411 0.006895846 0.001390799 0.006914933
0.002983398 0.005403986 0.002962229 0.005422146
0.003610482 0.012812292 0.003611136 0.012812742
0.005549104 0.006925812 0.005553425 0.006929128
0.003843358 0.007392669 0.003884632 0.007318311
0.003872203 0.001213955 0.003860307 0.001208915
0.008841546 0.004189682 0.008843757 0.004189589
0.010353519 0.022634481 0.010343882 0.022629892
0.004661868 0.009979925 0.004644138 0.009962689
0.006095753 0.008277542 0.006141340 0.008245095
0.006131091 0.001136374 0.006128356 0.001135939
0.001627710 0.005450095 0.001607995 0.005454132
0.002072532 0.009359255 0.002068824 0.009360921
0.012359683 0.024260688 0.012360333 0.024260688
0.015906894 0.031620621 0.015871672 0.031559718
0.006937813 0.007650594 0.006937458 0.007657680
0.012452149 0.032055510 0.012442605 0.032034557
0.007441558 0.008718459 0.007353131 0.008729027
0.007423224 0.003587265 0.007415047 0.003590291
0.003018277 0.006794799 0.003037553 0.006832507
0.009894456 0.017485277 0.009899251 0.017486815
0.010329948 0.013476576 0.010334869 0.013452814
0.008921589 0.000960717 0.008930422 0.000937592
0.004391851 0.005952108 0.004376883 0.005917699
0.008953131 0.060750263 0.008964700 0.060801844
0.014323923 0.022250720 0.014335881 0.022255840
0.006324137 0.002211856 0.006234735 0.002233936
0.009339666 0.003816890 0.009340090 0.003819287
0.005190823 0.001550527 0.005186008 0.001552847
0.008434854 0.020232891 0.008442763 0.020260851
0.008552233 0.004201450 0.008529716 0.004226135
0.004860516 0.003491858 0.004864979 0.003482294
0.014989390 0.027759842 0.014997798 0.027708623
0.000772228 0.003231317 0.000774806 0.003234900
0.007330975 0.006969455 0.007356119 0.006999887
0.008878075 0.004228771 0.008875699 0.004227006
0.009133362 0.017237713 0.009133406 0.017237610
0.002747999 0.003445377 0.002747353 0.003443428
0.003500242 0.012046316 0.003534188 0.012020386
0.009473919 0.016741535 0.009490628 0.016746997
0.003497171 0.001863651 0.003502782 0.001862026
0.003095210 0.048115785 0.003103664 0.048186465
0.004666958 0.004131325 0.004655735 0.004175833
0.001924995 0.005823449 0.001926283 0.005826543
0.007009239 0.003713373 0.007007561 0.003719719
0.003871795 0.001642969 0.003871814 0.001600428
0.009446888 0.003501100 0.009458122 0.003490821
0.013366028 0.009165927 0.013377341 0.009190243
0.012823416 0.001064312 0.012840153 0.001023535
0.002930143 0.004855048 0.002929049 0.004866129
0.003079703 0.002980261 0.003083500 0.002967789
0.007198202 0.004089684 0.007198390 0.004079122
0.017128091 0.023813921 0.017128169 0.023812105
0.010372995 0.001760355 0.010358651 0.001771636
0.011172185 0.011854751 0.011173032 0.011854979
0.001992787 0.001266725 0.001984029 0.001265487
0.008997959 0.002560031 0.008961764 0.002375415
0.008421054 0.016108984 0.008436155 0.016145021
0.004130564 0.003785266 0.004146464 0.003791768
0.007340985 0.014285421 0.007324278 0.014305297
0.014198909 0.023805942 0.014157612 0.023732163
0.005793119 0.006156875 0.005793305 0.006152297
0.003911878 0.002083550 0.003904546 0.002058967
0.010220355 0.028526208 0.010243108 0.028669417
0.017152650 0.007482055 0.017144868 0.007482743
0.025542373 0.044531910 0.025559569 0.044708454
0.008653699 0.004239639 0.008653617 0.004239412
0.039516055 0.056610836 0.039593038 0.056548255
0.008189357 0.002162411 0.008181164 0.002168165
0.004191886 0.013933414 0.004107779 0.014004459
0.014366673 0.017428866 0.014349956 0.017421435
0.003486845 0.006891631 0.003486104 0.006856764
0.011268183 0.031889584 0.011349534 0.032215998
0.002769833 0.003927064 0.002785169 0.003924926
0.001871002 0.005873012 0.001871043 0.005867345
0.003788096 0.011889692 0.003776728 0.011859639
0.014736799 0.006782555 0.014759059 0.006694980
0.004530088 0.011436296 0.004530206 0.011436090
0.019441365 0.026905680 0.019347353 0.026685630
0.012414883 0.023233854 0.012401502 0.023172420
0.009194569 0.006873770 0.009123620 0.007000523
0.038374843 0.094897779 0.038387161 0.094979871
0.010182223 0.016511634 0.010208016 0.016589701
0.001846877 0.001893083 0.001834823 0.001921600
0.007170547 0.004650982 0.007160745 0.004616974
0.006927626 0.016193251 0.006921212 0.016186902
0.008325982 0.017901208 0.008323963 0.017903673
0.003467212 0.001372850 0.003467244 0.001371488
0.019500073 0.052957258 0.019484967 0.052862802
0.011278469 0.006956258 0.011275709 0.006954312
0.002041510 0.004216588 0.002033801 0.004223542
0.005987165 0.018038722 0.006012905 0.018017014
0.004991204 0.004122054 0.004991154 0.004123674
0.003436779 0.022171127 0.003433150 0.022129316
0.004405115 0.001563125 0.004412230 0.001559226
0.016236106 0.022237178 0.016227432 0.022190107
0.002134786 0.006265212 0.002137372 0.006320881
0.005224530 0.004738152 0.005242425 0.004778037
0.004006439 0.014005809 0.003992485 0.013991568
0.004079842 0.001562756 0.004078946 0.001566070
0.017815849 0.004897523 0.017712927 0.004973549
0.001804058 0.002441081 0.001805262 0.002445537
0.008699727 0.010475444 0.008695266 0.010387229
0.018696466 0.014688258 0.018677585 0.014460010
0.002430131 0.004506142 0.002422843 0.004510425
0.012834840 0.007685946 0.012874654 0.007742214
0.013706825 0.025057210 0.013636904 0.024925084
0.001175056 0.005547075 0.001184480 0.005582610
0.002062129 0.003282253 0.002062435 0.003282056
0.009318749 0.020501078 0.009203187 0.020325285
0.003018239 0.089158905 0.003013839 0.089206348
0.007046248 0.010297773 0.007110642 0.010393847
0.008533403 0.003044426 0.008545920 0.003025406
0.004128901 0.009281602 0.004156531 0.009429388
0.002364210 0.007610376 0.002364735 0.007610307
0.005033007 0.022426437 0.005032934 0.022426379
0.003874687 0.006700925 0.003875065 0.006701011
0.004053699 0.008702235 0.004055568 0.008705265
0.013895175 0.014159977 0.013952880 0.014268348
0.014075501 0.012153117 0.014071554 0.012157054
0.002814867 0.021975975 0.002857741 0.021908862
0.006305926 0.018217464 0.006308402 0.018205868
0.035750581 0.044391874 0.035685528 0.044236307
0.017910148 0.021438365 0.017918255 0.021556216
0.004136412 0.002543090 0.004129323 0.002518498
0.003475577 0.004610558 0.003470789 0.004607574
0.006597967 0.004864924 0.006609461 0.004871646
0.021520870 0.010301673 0.021543681 0.010268488
0.003853690 0.003530406 0.003846106 0.003520922
0.024712743 0.050951514 0.024691394 0.050929195
0.008932667 0.054681663 0.008848829 0.056376035
0.002023352 0.004635662 0.002030243 0.004631234
0.006278478 0.003053557 0.006275728 0.003073317
0.005988142 0.008180117 0.005992006 0.008179538
0.012785271 0.008202915 0.012785209 0.008199026
0.004422452 0.002238540 0.004437227 0.002247647
0.011644600 0.005409139 0.011595771 0.005445184
0.010279535 0.010141869 0.010292486 0.010193940
0.002975386 0.001686907 0.002997695 0.001719734
0.009388207 0.022282561 0.009233575 0.022378624
0.003344840 0.003408257 0.003343683 0.003408384
0.018067558 0.033791315 0.017985927 0.033619660
0.010993575 0.010933031 0.010860264 0.011117545
0.012246414 0.005172321 0.012217353 0.005174884
0.003975575 0.006085898 0.003977214 0.006085592
0.004647909 0.004268059 0.004640323 0.004281189
0.011137155 0.014577675 0.011152279 0.014569680
0.023269674 0.070309376 0.023419506 0.070622784
0.007121690 0.000811020 0.007130398 0.000863021
0.012639812 0.039111164 0.012636087 0.039103877
0.007158291 0.001112354 0.007167053 0.001109186
0.002886066 0.001238696 0.002870985 0.001139397
0.015433280 0.026825241 0.015276103 0.026584426
0.011010936 0.018356010 0.010983382 0.018326495
0.006645517 0.019737611 0.006645362 0.019736783
0.005086718 0.004629462 0.005079848 0.004629917
0.004818255 0.015335822 0.004807328 0.015381137
0.011767594 0.024622540 0.011744318 0.024592501
0.019140251 0.002934707 0.019116718 0.002927747
0.018944260 0.033716981 0.018932495 0.033691947
0.029432847 0.058191225 0.029438769 0.058198568
0.006509422 0.009752945 0.006461889 0.009706744
0.001684493 0.007170903 0.001632897 0.007226397
0.002879189 0.003149728 0.002883209 0.003205426
0.009565803 0.005703648 0.009586596 0.005712058
0.005196493 0.007315937 0.005196439 0.007315270
0.012890253 0.022402548 0.012868021 0.022415867
0.010842502 0.007749703 0.010828286 0.007736229
0.013644472 0.029688826 0.013604515 0.029560199
0.004073799 0.001685752 0.004071725 0.001680429
0.006136599 0.009952477 0.006137829 0.009958656
0.007599447 0.009989256 0.007543327 0.009885984
0.004108140 0.002527439 0.004131107 0.002521237
0.010686158 0.016585123 0.010647630 0.016595122
0.009689703 0.011466252 0.009700522 0.011444711
0.006682594 0.022430710 0.006675785 0.022424374
0.009508860 0.000822717 0.009482281 0.000686627
0.012834342 0.031192917 0.012825388 0.031175597
0.016956254 0.036263638 0.016938262 0.036265532
0.008555150 0.008876857 0.008578314 0.008903996
0.008625556 0.009078673 0.008614964 0.009094385
0.011897677 0.011779716 0.011902352 0.011767478
