rot-8PA tran-8PA rot-n8PA tran-n8PA
0.019826048 0.141319451 0.019834491 0.140140916
0.064715544 0.334678992 0.064614532 0.333958915
0.046901980 0.116104856 0.046375312 0.114950961
0.067329544 0.264790857 0.067301077 0.263842854
0.059595536 0.237451633 0.059735429 0.237498976
0.007830583 0.036740933 0.007745317 0.036388290
0.067840599 0.205051941 0.051712072 0.143656991
0.018640227 0.011276161 0.020274065 0.012310556
0.014038620 0.015471435 0.013137985 0.013776508
0.126328017 0.318904571 0.146884375 0.458513762
0.120207623 0.261711662 0.148514176 0.316540717
0.036736458 0.224215696 0.036754514 0.224598668
0.046638024 0.201309015 0.046701839 0.201052315
0.038329059 0.126091075 0.038515938 0.126744494
0.015499021 0.078749549 0.014384988 0.078119565
0.072934408 0.393540566 0.073201134 0.393203878
0.036162172 0.211352424 0.036222480 0.211263468
0.010763788 0.086941246 0.010892251 0.087757292
0.103313388 0.454071077 0.100551557 0.438065649
0.003730969 0.002897429 0.003735676 0.002903261
0.037970174 0.136050303 0.038391837 0.136723080
0.009313772 0.031385890 0.009659641 0.032374699
0.013950703 0.028617166 0.013749326 0.027631790
0.054461425 0.306019144 0.054130168 0.304183296
0.023914317 0.085337400 0.024289849 0.088905872
0.026705396 0.115825354 0.026976691 0.116769828
0.046902174 0.821520555 0.046677518 0.822508566
0.043232992 0.439914367 0.042036659 0.450903221
0.023335921 0.403746365 0.024131158 0.388274425
0.069278996 0.426210700 0.071413157 0.447324758
0.018467917 0.089929730 0.018439579 0.089603475
0.083721663 0.154001237 0.083815310 0.153720622
0.009566298 0.014131642 0.009873853 0.014459821
0.026630885 0.278556466 0.026480145 0.280435939
0.012701292 0.093659425 0.013124084 0.094270836
0.034718435 0.535131909 0.034826233 0.534449656
0.014829722 0.051842214 0.014782626 0.051830526
0.030363038 0.407902314 0.029891655 0.400856933
0.013540433 0.200374875 0.012747273 0.204008484
0.038376398 0.366779936 0.038285289 0.367331527
0.008648525 0.047470052 0.008366880 0.045081132
0.020442061 0.115073923 0.019134981 0.113138245
0.073822931 0.381559077 0.073865061 0.381213542
0.053652397 0.218808654 0.052778654 0.212798679
0.028328668 0.225554377 0.028534738 0.226629628
0.003753603 0.036499309 0.003202841 0.033925169
0.047776808 0.196009567 0.049357649 0.199218731
0.058808199 0.394283906 0.051063230 0.267778870
0.006652952 0.106419792 0.006392648 0.106061331
0.028188625 0.104741777 0.027879553 0.104115661
0.039726237 0.073726052 0.039690136 0.073595172
0.070608404 0.106357827 0.068559630 0.105599567
0.044205163 0.037973267 0.043479588 0.036279674
0.009858234 0.011752870 0.009835134 0.012206033
0.069722867 0.285676870 0.069986384 0.285901539
0.032183249 0.165898261 0.032630874 0.167980280
0.029465340 0.350620883 0.029619571 0.353834123
0.014836960 0.081130779 0.014847184 0.081161503
0.053897000 0.141631316 0.053621684 0.142107250
0.063480974 0.239787768 0.063828244 0.240369560
0.006917084 0.026537603 0.007074427 0.026636080
0.079542141 0.318141252 0.079715853 0.318494054
0.066292468 0.459865414 0.066726691 0.461035090
0.091416746 0.528430584 0.091504217 0.527750332
0.108970550 0.474160652 0.104703991 0.540486692
0.054746279 0.275760285 0.055213007 0.276865927
0.091344172 0.441740458 0.091209902 0.442379319
0.049319325 0.638471415 0.049423874 0.638314133
0.047654728 0.231388124 0.047885554 0.232445195
0.041940185 0.218012629 0.042281571 0.219806339
0.038460206 0.200214908 0.037083906 0.191773239
0.072398669 0.273800479 0.072874890 0.274489844
0.041670500 0.101996428 0.041857695 0.102100021
0.968269705 0.621439827 0.104291691 0.627221165
0.024904626 0.191612323 0.025035313 0.192171446
0.024467404 0.125693852 0.024464097 0.125697432
0.029333772 0.081549700 0.027403782 0.079181376
0.058872834 0.284999018 0.059042518 0.284979956
0.075603551 0.411593596 0.075862162 0.412007381
0.048681965 0.312421961 0.062884140 0.592142054
0.036101036 0.088327229 0.035568121 0.086563191
0.006227247 0.021851897 0.006210923 0.021862616
0.023946826 0.011037971 0.023873303 0.011669203
0.055982858 0.286939188 0.054009209 0.275995938
0.062895542 0.444666898 0.063674238 0.440828402
0.045897639 0.745056404 0.045348598 0.751079373
0.038375746 0.055988681 0.039010022 0.060451994
0.071160442 0.456074652 0.070305900 0.451813235
0.070794322 0.523493418 0.070812166 0.522766464
0.039083845 0.148190700 0.039291486 0.149006661
0.055278725 0.290137621 0.055762243 0.290345892
0.085168243 0.694077036 0.085815484 0.687171367
0.018234322 0.064370224 0.018257015 0.064368879
0.068761068 0.255230401 0.068667336 0.252157595
0.021448203 0.139592732 0.021375668 0.138802485
0.038734737 0.201916889 0.038603700 0.200069649
0.014312194 0.088760417 0.014181278 0.085729183
0.062119501 0.189345787 0.061777903 0.188474597
0.060924645 0.529941012 0.061029353 0.527848221
0.040791749 0.595052009 0.041108041 0.592150061
0.003482925 0.012175682 0.003459004 0.011669769
0.025345647 0.092399189 0.024507624 0.088834414
0.033647528 0.182668592 0.033685849 0.182852908
0.073283263 0.306646443 0.073855629 0.307334166
0.058655914 0.296888615 0.058711840 0.297331170
0.024516808 0.079984466 0.024904317 0.084370163
0.029593195 0.133006767 0.029073480 0.131067396
0.088831838 0.596134654 0.089342717 0.406356107
0.024681122 0.212783391 0.024704297 0.212853937
0.070537407 0.420860579 0.070522245 0.418421396
0.006335169 0.029942974 0.006465270 0.030577663
0.025976638 0.325215542 0.026026606 0.324944379
0.107212124 0.629988506 0.108074510 0.624881945
0.064613422 0.721054574 0.061387694 0.742946744
0.087173859 0.400904983 0.088872030 0.402648888
0.039400327 0.367018673 0.037566749 0.359897395
0.004144392 0.019312383 0.004183946 0.019177725
0.012593411 0.202519638 0.012581753 0.202186828
0.046103479 0.484174103 0.046267786 0.484814244
0.017576234 0.063807878 0.016995563 0.061667335
0.057215503 0.172161043 0.057369687 0.172416432
0.008325498 0.058485773 0.007568070 0.057857307
0.050126141 0.262822603 0.054177382 0.275013834
0.103224513 0.362563755 0.099683955 0.344323721
0.006025422 0.016167389 0.006008884 0.016194490
0.081383190 0.262999254 0.089099519 0.396436749
0.031020574 0.091804455 0.031099971 0.091380026
0.097247235 0.585529632 0.097706651 0.579117715
0.006460847 0.039600846 0.006537639 0.040333686
0.009462738 0.006104615 0.009453869 0.006027774
0.036134846 0.078529034 0.033913938 0.087744657
0.101406616 0.655835450 0.101801369 0.652089297
0.050280134 0.069764941 0.051283527 0.068725898
0.059470579 0.144230682 0.056874115 0.140783718
0.052671115 0.142588886 0.053221461 0.144113523
0.040033582 0.075646343 0.038722392 0.074216662
0.048824927 0.188182133 0.048108047 0.186972060
0.059632972 0.324387135 0.052813729 0.291874866
0.090083455 0.318968681 0.086920862 0.308148926
0.096224050 0.420794146 0.076367938 0.021789806
0.021486888 0.048301406 0.021438373 0.048532109
0.022136986 0.073524935 0.021072238 0.072455355
0.040424113 0.121776339 0.040461701 0.122067779
0.062251865 0.216042589 0.061662948 0.213249396
0.023730581 0.068245649 0.022053520 0.068296025
0.003829150 0.004982017 0.003900935 0.005166025
0.055226694 0.081885189 0.055036146 0.084237023
0.005584163 0.023409032 0.004774419 0.021607558
0.084026960 0.268845535 0.084265584 0.269911138
0.017329565 0.082150425 0.017264655 0.082057134
0.026978049 0.061945518 0.026485281 0.062498900
0.014065572 0.048334679 0.014129545 0.048481647
0.006433619 0.012782758 0.006500347 0.012776112
0.023351442 0.101233187 0.023416245 0.101478775
0.050320435 0.243273020 0.050190548 0.242373723
0.143137044 0.615842765 0.139756528 0.624506156
0.043557181 0.270232955 0.041647658 0.257355184
0.011198215 0.009456269 0.011625404 0.012539785
0.074680290 0.466270731 0.079241761 0.438419958
0.013441451 0.027997927 0.014525800 0.033438425
0.017780359 0.074515890 0.017736685 0.074073517
0.087190145 0.203043675 0.092091613 0.214166466
0.024575764 0.064074719 0.024029545 0.063398922
0.045066653 0.316961668 0.044996718 0.315195062
0.046078858 0.220676427 0.043644778 0.211182150
0.032768970 0.277893555 0.032806036 0.277665598
0.068444886 0.076774785 0.055617302 0.066633922
0.016945138 0.026964029 0.017107320 0.027890121
0.061871318 0.627027272 0.061731069 0.628144709
0.029662430 0.097271093 0.029642085 0.097379681
0.041206551 0.076586340 0.040449335 0.075630505
0.116810407 0.514351407 0.110832638 0.564171520
0.028243684 0.803056299 0.028294589 0.802967610
0.032170985 0.242623854 0.032249681 0.242400679
0.057146950 0.218741159 0.055419314 0.213444231
0.006305258 0.023641935 0.006457489 0.024413590
0.029972412 0.114029394 0.030107619 0.115644882
0.019538732 0.053521195 0.019241506 0.052556670
0.003070389 0.012092976 0.002978174 0.012348521
0.024851899 0.083712437 0.024897059 0.083933285
0.044152208 0.165593641 0.043061122 0.161314352
0.019953832 0.131207393 0.019880383 0.130806407
0.032984613 0.153648579 0.032739563 0.152417241
0.006856453 0.035542928 0.006849864 0.035518881
0.019189888 0.101122046 0.017757938 0.093285666
0.029021983 0.156948537 0.029014166 0.156908612
0.039942329 0.132759504 0.039312952 0.138385027
0.038252340 0.121659489 0.038057349 0.120567367
0.071284856 0.341094578 0.071761103 0.329027936
0.025618236 0.297807466 0.025164375 0.296498614
