rot-8PA tran-8PA rot-n8PA tran-n8PA
0.005329537 0.017362425 0.005283502 0.017084838
0.002465848 0.006013653 0.002578265 0.005111987
0.006619339 0.010025225 0.006496218 0.009650979
0.009653821 0.005475145 0.009507575 0.005329337
0.003273414 0.002352362 0.003215688 0.002353371
0.003240162 0.007126024 0.002908511 0.006691270
0.004030520 0.013870100 0.004024831 0.013492045
0.005177636 0.003045067 0.005255631 0.002954239
0.004906289 0.002491154 0.004837113 0.000781173
0.002745314 0.002314054 0.002710911 0.002402328
0.007886722 0.018579236 0.007389508 0.015351585
0.004883394 0.005120301 0.004776899 0.005015177
0.007970597 0.013407060 0.007824579 0.013024753
0.008282136 0.006578056 0.008358376 0.006641105
0.008753797 0.011227324 0.008504649 0.010453320
0.002156226 0.002279223 0.002181187 0.002321198
0.007109554 0.004092813 0.006081098 0.002523210
0.014259376 0.021008066 0.015275361 0.022321686
0.005269346 0.009756637 0.005156264 0.008813308
0.004209323 0.002212075 0.004577722 0.001525537
0.015615617 0.023431903 0.015748319 0.023681647
0.012367192 0.265107237 0.012370768 0.265117708
0.004517840 0.010471514 0.004606132 0.010600069
0.015911307 0.015649256 0.016876340 0.017991276
0.002555056 0.005282897 0.002606943 0.005506740
0.005351079 0.006111991 0.005319711 0.006098133
0.002270855 0.005799328 0.002262947 0.005829667
0.016325335 0.039412821 0.013886108 0.034655811
0.085601552 0.143792814 0.079607307 0.134110972
0.004232340 0.003979395 0.004045206 0.003660445
0.014461025 0.035467399 0.014644459 0.035715454
0.003008836 0.006274220 0.002997331 0.006250126
0.024681560 0.035044043 0.024554587 0.035684880
0.003511238 0.006803776 0.003530202 0.006766890
0.002606909 0.002972969 0.002500670 0.003055094
0.009747828 0.014742728 0.010075648 0.015879020
0.003417507 0.004485464 0.003433089 0.004486894
0.005608149 0.038700633 0.005615494 0.038426227
0.008438639 0.023426058 0.008594133 0.023459322
0.009764402 0.003619564 0.009768054 0.003370009
0.012411519 0.014256912 0.012433115 0.014236592
0.009661632 0.010489423 0.009188063 0.009966207
0.001976573 0.005531193 0.001908402 0.005647651
0.010933607 0.007225042 0.011007848 0.006547171
0.011595298 0.011794171 0.011812791 0.011884455
0.005854189 0.021421116 0.005967716 0.021418401
0.008452737 0.013299160 0.008036023 0.012623692
0.006041140 0.006921389 0.006079970 0.007026638
0.002665307 0.003422380 0.002660132 0.003453903
0.008058237 0.004908107 0.008011497 0.004873215
0.007452941 0.004201970 0.007308885 0.003967794
0.023771406 0.390709682 0.023796904 0.390152930
0.006327269 0.004905995 0.006240140 0.005016048
0.031788116 0.175080852 0.031543467 0.173195363
0.003977051 0.006322096 0.004200878 0.006895519
0.010177344 0.006751260 0.010138804 0.006422853
0.010557458 0.005820136 0.010511840 0.005563391
0.009059492 0.010769092 0.009072234 0.010872683
0.013847658 0.011024926 0.013816721 0.011040685
0.008957201 0.034594325 0.009702381 0.033445901
0.006792016 0.006534179 0.007195121 0.006713009
0.025030861 0.059998768 0.024501123 0.057923232
0.004723150 0.028374917 0.004724780 0.028489328
0.006727783 0.004143590 0.006673862 0.004231124
0.007294718 0.015273842 0.007669372 0.015273580
0.002801595 0.005782957 0.003153876 0.006163845
0.002585618 0.003155898 0.002420337 0.002887443
0.023839519 0.011730979 0.023119121 0.013598501
0.022112935 0.180044674 0.022160305 0.180004656
0.021173890 0.054743724 0.020062630 0.052474779
0.004577449 0.002779292 0.004460362 0.002673921
0.013578033 0.024085004 0.011843634 0.021336235
0.003731464 0.006330003 0.003727376 0.006315279
0.006627196 0.007908632 0.006622165 0.007949412
0.009820755 0.008468163 0.009835886 0.008438895
0.001472691 0.011322317 0.001406565 0.011190955
0.012237369 0.002255007 0.012225185 0.002143602
0.019080922 0.013422803 0.019151644 0.013439436
0.004595612 0.016716037 0.004557656 0.016516427
0.061764676 0.068473861 0.061475681 0.068540080
0.007435922 0.003348811 0.007423467 0.003261131
0.003914736 0.003122155 0.003904573 0.003113250
0.003201433 0.012046618 0.003110966 0.011960330
0.006653614 0.003703737 0.006394221 0.004352301
0.006069480 0.010266648 0.006102002 0.010255512
0.004922533 0.010685305 0.004931151 0.010609218
0.011526365 0.012107677 0.011671974 0.012124237
0.006633400 0.009877988 0.006607813 0.009891390
0.000542990 0.009295945 0.000657803 0.009194241
0.003550961 0.010614890 0.003574773 0.010912716
0.004944854 0.004681850 0.004948705 0.004661375
0.006263969 0.005817855 0.006260381 0.005738170
0.019010209 0.016404048 0.018828883 0.015846309
0.003653412 0.004919906 0.003638272 0.004692691
0.008732241 0.004087909 0.008739103 0.004082375
0.031265999 0.273731198 0.031095830 0.268726760
0.012706847 0.006994784 0.011910927 0.007012262
0.006192858 0.008748504 0.006219296 0.008735095
0.007667183 0.007983017 0.007649775 0.008008455
0.007631470 0.025806202 0.011395421 0.033504674
0.009440976 0.003527131 0.009891436 0.003710333
0.004982850 0.013580542 0.005044458 0.012985775
0.021886782 0.021648736 0.019941965 0.019191243
0.006770120 0.017823409 0.006768564 0.017644088
0.006121275 0.001425896 0.006171845 0.001550734
0.009325522 0.018353503 0.009321337 0.018291894
0.002724921 0.003877587 0.002715419 0.003782228
0.004306814 0.005749669 0.004303439 0.005772813
0.007845054 0.013907321 0.007843159 0.013950417
0.003909547 0.000937139 0.003888863 0.000889417
0.008646429 0.007977292 0.008608271 0.007997471
0.029192471 0.280514993 0.029258472 0.280047495
0.029057320 0.042074347 0.031268239 0.045522610
0.003876319 0.004528807 0.003884927 0.004547237
0.016470853 0.001772740 0.016252093 0.001387457
0.007611607 0.010942119 0.007625455 0.010595907
0.003039465 0.000441307 0.003039482 0.000486179
0.001253784 0.005257302 0.001324395 0.005329445
0.005409923 0.008914423 0.005399836 0.008870198
0.004351987 0.007031979 0.004383030 0.007026520
0.007504700 0.005612713 0.007877166 0.006290769
0.004814330 0.011121988 0.004930305 0.011164141
0.007145314 0.017380669 0.007105960 0.017166069
0.002750444 0.008881289 0.002748902 0.008879305
0.002863554 0.001101380 0.002875865 0.001104701
0.011037509 0.011898260 0.011413072 0.012196279
0.009809301 0.024046912 0.008759634 0.021149841
0.001865953 0.003362086 0.001837075 0.003292795
0.002437078 0.006474994 0.002438380 0.006438659
0.004939036 0.002861267 0.004909170 0.002912676
0.003278838 0.003527534 0.002779489 0.002831027
0.008308303 0.015936838 0.008366937 0.015874931
0.025155530 0.032778481 0.023747656 0.030030891
0.004598059 0.023682655 0.004562642 0.023692664
0.003627567 0.001271102 0.003621171 0.001306330
0.002962881 0.002594885 0.002955941 0.002661371
0.011943358 0.028356360 0.012102562 0.032423144
0.020636468 0.014565761 0.020187301 0.013687638
0.007172245 0.007952421 0.006562960 0.007657392
0.006198032 0.008235982 0.006343503 0.008333846
0.006736059 0.001698647 0.006384654 0.001920391
0.009523524 0.010683989 0.009922083 0.010737204
0.009048247 0.005994657 0.008970960 0.006130208
0.005606142 0.003240168 0.005526745 0.003152465
0.005204742 0.001430912 0.005258656 0.001403638
0.002407198 0.007597253 0.001365316 0.009092806
0.004345295 0.004510819 0.004253399 0.004423113
0.009799531 0.014057304 0.009654919 0.013541378
0.014799565 0.030381565 0.014478829 0.028356772
0.007509042 0.007346686 0.007347317 0.007195948
0.010787249 0.027258847 0.010707721 0.027080102
0.030351444 0.019961973 0.031026272 0.022493512
0.005699413 0.012550503 0.005834567 0.012442654
0.003026534 0.004930622 0.002970138 0.004950879
0.031773988 0.061657490 0.034139430 0.063326937
0.007509802 0.018622233 0.007524981 0.018499548
0.024733156 0.046472765 0.022815666 0.043215465
0.003443263 0.002890007 0.003313491 0.002890328
0.007595410 0.014491969 0.007378014 0.014525738
0.009537588 0.008038485 0.009368096 0.007564000
0.005418825 0.006626267 0.005405582 0.006598096
0.012945621 0.008947638 0.012605331 0.008546794
0.003876832 0.005830708 0.003895203 0.005829295
0.007727883 0.026329621 0.007761704 0.026466960
0.005471686 0.002839783 0.005524527 0.002813536
0.008305298 0.003938078 0.008166174 0.003776486
0.038063100 0.073259696 0.036389681 0.068301714
0.014954979 0.045765351 0.015794297 0.046314610
0.022074945 0.013701243 0.021984250 0.013538210
0.005311025 0.001701852 0.005380229 0.001784772
0.015961090 0.056418576 0.015930529 0.055923083
0.004024137 0.001773608 0.004007127 0.001742134
0.023058003 0.040536989 0.023491709 0.039771883
0.008699038 0.011678516 0.008051667 0.011270332
0.017213033 0.029354256 0.016554055 0.028887662
0.019752698 0.014718052 0.020267616 0.014634903
0.006776684 0.018004852 0.006520998 0.017668677
0.013894615 0.172784960 0.015206658 0.168878101
0.007274952 0.015451704 0.007311616 0.015552179
0.005454339 0.009870441 0.005054493 0.008726578
0.012003107 0.022038518 0.011853161 0.021664750
0.012778982 0.014547564 0.012651703 0.014016283
0.004186581 0.004939090 0.004117218 0.004979655
0.020368657 0.025473882 0.020106049 0.025148799
0.012233595 0.008777371 0.011843868 0.008885334
0.013226723 0.042311693 0.014624756 0.038785492
0.001837544 0.003115482 0.001762745 0.002673552
0.008286966 0.019361825 0.007892770 0.018687498
0.009362504 0.023859426 0.009244156 0.023693631
0.017114403 0.014916706 0.017532303 0.014102286
0.019031341 0.032555215 0.019286730 0.032927263
0.004992002 0.009159506 0.004935060 0.009076022
0.014591736 0.013930808 0.014623419 0.013985540
0.007507878 0.005347014 0.008096227 0.004255088
0.006633180 0.008226132 0.006677565 0.007797271
0.007440623 0.012156762 0.009201865 0.008920483
0.004346142 0.028945390 0.004376639 0.029031940
0.011822862 0.013865103 0.012056224 0.015290459
0.011802339 0.003038285 0.011814694 0.003085769
0.035763244 0.049679391 0.042313759 0.055836367
0.006292987 0.006790511 0.006761504 0.007305760
0.032399762 0.051497196 0.032307257 0.051037456
0.008666547 0.001582812 0.008766609 0.001316045
0.002427751 0.014061037 0.002372102 0.013445000
0.024264641 0.040855451 0.023052894 0.038911627
0.005677086 0.011719176 0.004560036 0.009350944
0.015018140 0.004829531 0.014981971 0.005168581
0.007627987 0.014487190 0.007843439 0.013848958
0.007689171 0.008992425 0.007625282 0.008988049
0.010386252 0.061781512 0.010171234 0.061980741
0.013319912 0.005413539 0.013353714 0.005329862
0.009757098 0.019767219 0.009554687 0.019367128
0.006586631 0.007093134 0.006834457 0.007530108
0.031099746 0.143407863 0.031544529 0.142154907
0.005851223 0.003435109 0.005462222 0.003314438
0.008253885 0.016327979 0.007674108 0.015077154
0.018501484 0.025511307 0.018737362 0.026624890
0.004282509 0.006043932 0.004270790 0.006005658
0.011195049 0.003420000 0.011272906 0.003068280
0.006383121 0.002070706 0.006463087 0.002162646
0.005792940 0.005527661 0.005785297 0.005474858
0.005777990 0.003404881 0.005797965 0.003362582
0.002405241 0.003538783 0.002452576 0.003754384
0.013381242 0.027892907 0.013328984 0.027759200
0.003113741 0.009706028 0.003108863 0.009682086
0.020055798 0.009262050 0.019331051 0.009376347
0.003204152 0.006238242 0.003181018 0.005094090
0.006105008 0.013841844 0.005867832 0.013393582
0.004654849 0.002593612 0.004787713 0.002756651
0.010500847 0.016148588 0.010539222 0.015993907
0.010071321 0.002950934 0.010127695 0.003163560
0.010459351 0.021294919 0.010702882 0.021017267
0.006043659 0.003381297 0.005994684 0.003327152
0.015957015 0.018322216 0.015228013 0.017543503
0.002993769 0.004749816 0.003208258 0.005147799
0.004735413 0.006359871 0.004646702 0.006317066
0.002415537 0.006568303 0.002532697 0.006696190
0.012927167 0.013723563 0.012722187 0.013807275
0.003664435 0.014254849 0.003733162 0.014362593
0.003573201 0.003304970 0.003527281 0.002915162
0.018127335 0.001574161 0.017962149 0.001738330
0.010070676 0.018229074 0.010610966 0.019164426
0.003859934 0.004904209 0.003769682 0.004804494
0.009696349 0.029882135 0.009656468 0.030107971
0.002545535 0.005128115 0.002562889 0.005055266
0.009859598 0.022563897 0.009347441 0.022556985
0.027205725 0.159202896 0.027181715 0.152808507
0.004483400 0.015775664 0.004491069 0.016251614
0.013849286 0.012113863 0.013774129 0.012422987
0.002963291 0.004381869 0.002996621 0.004380898
0.006337733 0.012980240 0.006126205 0.012248168
0.003038356 0.006244594 0.002908912 0.005944891
0.010820612 0.049354618 0.010816439 0.049257733
0.014789047 0.007767950 0.014775767 0.007806067
0.008125119 0.011555306 0.008211742 0.011183151
0.002745654 0.004774372 0.002629421 0.004252651
0.037770388 0.262309141 0.036878381 0.260544427
0.024017626 0.067507412 0.024807577 0.065638509
0.001688368 0.001823718 0.001834552 0.001970832
0.001996127 0.014443529 0.001999660 0.014396168
0.010253905 0.008301800 0.010296282 0.008282949
0.007791843 0.005128811 0.007749886 0.005265558
0.002271678 0.000724444 0.002133817 0.000845684
0.006576081 0.015655304 0.006632403 0.015653904
0.005988798 0.007140371 0.006054465 0.007231903
0.006952103 0.009199421 0.006772673 0.008948952
0.003881037 0.002802003 0.004164173 0.003697393
0.005150998 0.003014301 0.005130576 0.002876209
0.010312253 0.026115506 0.010306926 0.026000244
0.003633911 0.009295642 0.003540815 0.009244459
0.005553183 0.002126705 0.004984359 0.001738270
0.003669942 0.001294263 0.003663093 0.001277980
0.006905692 0.002144647 0.006717245 0.002643007
0.021506266 0.020771420 0.021297453 0.019943721
0.003666572 0.010445131 0.003662841 0.010398948
0.004680781 0.007931776 0.004812987 0.007914276
0.004972586 0.008752880 0.004857535 0.008608846
0.010255757 0.013244479 0.009932041 0.014703787
0.024266742 0.002589468 0.024067988 0.002743818
0.006006256 0.027961539 0.005929879 0.027806861
0.001216747 0.003950039 0.000880787 0.003381782
0.016839225 0.021965018 0.015890185 0.020557291
0.018252369 0.015533678 0.018119967 0.015346741
0.004474230 0.012550986 0.004422230 0.012084302
0.012420707 0.012095844 0.012311445 0.011724313
0.015870882 0.027478128 0.014976331 0.025438123
0.026181041 0.018959586 0.025834591 0.019294300
0.003071936 0.007218339 0.003124069 0.007295104
0.006304223 0.010076682 0.006319902 0.010129531
0.004302246 0.030860429 0.004315493 0.031114319
0.003130471 0.003061167 0.003091496 0.003049086
0.010352420 0.010269623 0.009553447 0.009924550
0.010032242 0.025529440 0.010187893 0.025889319
0.020387922 0.027904780 0.020365167 0.027930241
0.007548145 0.011942219 0.007436445 0.011772306
0.004382123 0.005572784 0.004220969 0.005264307
0.004704401 0.022108147 0.004657808 0.022105718
0.004563388 0.021627728 0.004606071 0.021744005
0.002207565 0.007444634 0.002194777 0.007393456
0.014082032 0.038285297 0.014163778 0.037744415
0.014257127 0.010764060 0.013658503 0.009871337
0.011301140 0.031183656 0.011058158 0.030792539
0.003169200 0.007076707 0.003210889 0.007039468
0.001396411 0.006895846 0.001412733 0.006833151
0.002983398 0.005403986 0.003005975 0.005462205
0.003610482 0.012812292 0.003576528 0.012787652
0.005549104 0.006925812 0.005577411 0.006975880
0.003843358 0.007392669 0.002638339 0.010211331
0.003872203 0.001213955 0.003958541 0.001314854
0.008841546 0.004189682 0.008790154 0.004226568
0.010353519 0.022634481 0.010203918 0.022141004
0.004661868 0.009979925 0.004714539 0.009938693
0.006095753 0.008277542 0.005607685 0.007680393
0.006131091 0.001136374 0.006056557 0.001001322
0.001627710 0.005450095 0.001463184 0.005722367
0.002072532 0.009359255 0.002096878 0.009122825
0.012359683 0.024260688 0.011899302 0.023296262
0.015906894 0.031620621 0.015821795 0.031052114
0.006937813 0.007650594 0.006666244 0.006756408
0.012452149 0.032055510 0.011856382 0.031399759
0.007441558 0.008718459 0.007178123 0.008642097
0.007423224 0.003587265 0.007404299 0.003522455
0.003018277 0.006794799 0.002832159 0.006934766
0.009894456 0.017485277 0.009988831 0.017593533
0.010329948 0.013476576 0.009910056 0.012939539
0.008921589 0.000960717 0.008765016 0.000568826
0.004391851 0.005952108 0.004255930 0.005665916
0.008953131 0.060750263 0.008656285 0.057674276
0.014323923 0.022250720 0.013981815 0.021326855
0.006324137 0.002211856 0.005908546 0.002061945
0.009339666 0.003816890 0.009457063 0.003935441
0.005190823 0.001550527 0.005159463 0.001496874
0.008434854 0.020232891 0.008377753 0.019664673
0.008552233 0.004201450 0.008217392 0.004113956
0.004860516 0.003491858 0.004885346 0.003613830
0.014989390 0.027759842 0.015016701 0.027148769
0.000772228 0.003231317 0.000690559 0.003112597
0.007330975 0.006969455 0.007335110 0.007061186
0.008878075 0.004228771 0.008911261 0.004231691
0.009133362 0.017237713 0.009742287 0.018050361
0.002747999 0.003445377 0.002731110 0.003434462
0.003500242 0.012046316 0.003588833 0.012233927
0.009473919 0.016741535 0.009716247 0.016546539
0.003497171 0.001863651 0.003438360 0.001901608
0.003095210 0.048115785 0.003044861 0.047702832
0.004666958 0.004131325 0.004700614 0.004044806
0.001924995 0.005823449 0.001859089 0.005704739
0.007009239 0.003713373 0.006927188 0.003618610
0.003871795 0.001642969 0.003656473 0.001852858
0.009446888 0.003501100 0.009721573 0.003655017
0.013366028 0.009165927 0.011688794 0.009540497
0.012823416 0.001064312 0.012558326 0.001305427
0.002930143 0.004855048 0.002867941 0.004647733
0.003079703 0.002980261 0.003076482 0.002950582
0.007198202 0.004089684 0.007153421 0.004042829
0.017128091 0.023813921 0.017073793 0.023407412
0.010372995 0.001760355 0.010389917 0.001648623
0.011172185 0.011854751 0.010529564 0.011049626
0.001992787 0.001266725 0.002029432 0.001225928
0.008997959 0.002560031 0.007984132 0.001731127
0.008421054 0.016108984 0.008287494 0.015837272
0.004130564 0.003785266 0.004166996 0.003769815
0.007340985 0.014285421 0.007383163 0.014218815
0.014198909 0.023805942 0.014845808 0.024384744
0.005793119 0.006156875 0.005952981 0.006337416
0.003911878 0.002083550 0.003987990 0.001817842
0.010220355 0.028526208 0.010279958 0.028393478
0.017152650 0.007482055 0.016633357 0.007007692
0.025542373 0.044531910 0.024405654 0.042631688
