rot-8PA tran-8PA rot-n8PA tran-n8PA
0.027243086 0.527362411 0.024586142 0.510262739
0.063784259 0.196104592 0.063979907 0.198739328
0.029355338 0.191814323 0.029269938 0.191086469
0.020493825 0.122164427 0.020481577 0.122076610
0.027794266 0.234831841 0.030329128 0.233109260
0.046922763 0.430887384 0.046313735 0.437317833
0.045835796 0.233023164 0.042727444 0.222213469
0.028683349 0.572444216 0.026831874 0.567668953
0.089165359 0.249986535 0.088063586 0.247614527
0.046116399 0.260935423 0.045279987 0.254108979
0.078714054 0.476310717 0.077883157 0.479651102
0.112460424 0.588982571 0.112890289 0.588914376
0.033276499 0.155712681 0.033025005 0.154545403
0.092928439 0.251015855 0.095442076 0.261298764
0.070778234 0.240686181 0.067620640 0.227232905
0.084875117 0.342341788 0.084251076 0.335237989
0.075512981 0.211733191 0.069865174 0.194092802
0.037386154 0.177219920 0.037129158 0.176136236
0.082560964 0.333508831 0.079571903 0.296105585
0.015289055 0.138324927 0.014834479 0.136041151
0.058387092 0.258257789 0.058420797 0.258586742
0.077260393 0.206467574 0.077169890 0.202105230
0.057443242 0.203989599 0.053710378 0.190116076
0.072464890 0.307634175 0.071989311 0.304718564
0.114367475 0.426475459 0.111906287 0.437258375
0.026564493 0.099579834 0.019696182 0.078628055
0.019403118 0.143710863 0.019382801 0.143525594
0.022447147 0.102819622 0.020619074 0.095061872
0.046944915 0.186610788 0.032976434 0.132794552
0.009541686 0.236151775 0.008813363 0.162039345
0.067474910 0.456417122 0.067138405 0.465424126
0.050260149 0.268221567 0.049444338 0.265491804
0.022650418 0.083991086 0.020554181 0.083193677
0.021629519 0.148166295 0.021415103 0.146983959
0.003749206 0.096669803 0.003713623 0.096610364
0.029354344 0.133998435 0.017039940 0.107467931
0.043545810 0.369695253 0.042345820 0.360094434
0.046357186 0.146972440 0.045933836 0.145224909
0.027471114 0.223534081 0.004910636 0.065343675
0.063228172 0.117851570 0.060903443 0.112468694
0.051243165 0.297427182 0.050902961 0.299128219
0.023536557 0.146867945 0.023541387 0.147375510
0.080186299 0.411699967 0.078789881 0.404720810
0.084068494 0.631920109 0.069219032 0.272507165
0.014831355 0.017115130 0.018156966 0.021447842
0.025591708 0.076761693 0.019724668 0.064201271
0.044928096 0.150337593 0.044381668 0.148257741
0.065465326 0.249853120 0.065016020 0.248354905
0.004972795 0.028881442 0.004952257 0.028926452
0.042855483 0.144823813 0.039164103 0.130523150
0.080003448 0.513730810 0.073534260 0.456500339
0.054323031 0.197636200 0.051983530 0.190684125
0.052680290 0.489885420 0.052085402 0.485125456
0.047347854 0.295100068 0.045527058 0.284246741
0.059408664 0.377400830 0.058410677 0.368514817
0.032871226 0.242575730 0.031950160 0.236634724
0.041848779 0.240911575 0.041959676 0.241580017
0.061326781 0.199695503 0.044160936 0.157113937
0.028581841 0.183384455 0.028598634 0.183505232
0.068588520 0.464970291 0.068129262 0.475707313
0.031324395 0.083364690 0.030865512 0.082305735
0.006450117 0.015311251 0.004844061 0.006602141
0.107621205 0.321621710 0.107435795 0.324396400
0.066854424 0.295735626 0.064097542 0.286942070
0.052720968 0.257531251 0.051439066 0.251984620
0.017483480 0.118571649 0.017256749 0.116981127
0.044369935 0.229358932 0.044456033 0.229919566
0.079055484 0.175664049 0.077963104 0.173416439
0.023150839 0.196134162 0.019525490 0.173960303
0.054231990 0.092312214 0.055053491 0.078357799
0.041881349 0.141970769 0.037038721 0.097226703
0.047433816 0.260186883 0.045942906 0.256594730
0.066304036 0.546808265 0.067485640 0.554249452
0.032027528 0.191916238 0.029544409 0.186829780
0.080300736 0.395954037 0.091483195 0.555272471
0.015815763 0.104345960 0.015007238 0.098876068
