rot-8PA tran-8PA rot-n8PA tran-n8PA
0.005490610 0.007029018 0.005495443 0.007042730
0.005566207 0.004530363 0.005558292 0.004529293
0.009674053 0.008024773 0.009643906 0.008009024
0.007190335 0.006024666 0.007219801 0.006019244
0.003279189 0.003022432 0.003279234 0.003022254
0.013185877 0.016207232 0.013209834 0.016193183
0.002468384 0.002188650 0.002457523 0.002190543
0.005756743 0.007742585 0.005756955 0.007742856
0.004495939 0.011876021 0.004495149 0.011870602
0.001723593 0.003372526 0.001721603 0.003380811
0.011149206 0.014679018 0.011146141 0.014683280
0.011994449 0.008125929 0.012006262 0.008123049
0.003009274 0.004656059 0.003009885 0.004656328
0.007471036 0.011664886 0.007485106 0.011677739
0.006999962 0.002719761 0.007002975 0.002715619
0.013903224 0.012947518 0.013911118 0.012939623
0.008657713 0.006951182 0.008624214 0.006954153
0.010235669 0.011699984 0.010232589 0.011702877
0.004451249 0.000946402 0.004458465 0.000940655
0.008278223 0.008757195 0.008273827 0.008762669
0.001799417 0.006168916 0.001797879 0.006170599
0.016946049 0.014214756 0.016935604 0.014226803
0.003349896 0.008641322 0.003350958 0.008642117
0.006086784 0.005073775 0.006040691 0.005016358
0.009198938 0.005303714 0.009199066 0.005303933
0.001013021 0.004810300 0.001013030 0.004809835
0.003161546 0.001043114 0.003162665 0.001043161
0.008622176 0.010934686 0.008626016 0.010935347
0.008798608 0.007010890 0.008793511 0.007044221
0.013463145 0.012878344 0.013456848 0.012869565
0.012059092 0.016240466 0.012049625 0.016218596
0.009343030 0.008820919 0.009360708 0.008828878
0.005468437 0.005181256 0.005474566 0.005186660
0.004078608 0.004413270 0.004083409 0.004400812
0.017663057 0.014114846 0.017675173 0.014122959
0.002322747 0.005592765 0.002328682 0.005598272
0.018536930 0.016997300 0.018547743 0.017016431
0.004669209 0.002500165 0.004668189 0.002501016
0.006302702 0.010303607 0.006288998 0.010288067
0.005675707 0.005385402 0.005680855 0.005390951
0.007652238 0.003794387 0.007656721 0.003798561
0.004917538 0.002727485 0.004916925 0.002727313
0.025654410 0.012573951 0.025659196 0.012568260
0.010901299 0.011582841 0.010903886 0.011582427
0.008145121 0.003189973 0.008146956 0.003188977
0.015133273 0.013923109 0.015124060 0.013929120
0.017435786 0.005800184 0.017412832 0.005756001
0.011485153 0.008197339 0.011489049 0.008195977
0.010593568 0.032527846 0.010590935 0.032539971
0.021322848 0.014261326 0.021330155 0.014259408
0.008220345 0.015547840 0.008210480 0.015541551
0.001457262 0.001893325 0.001458503 0.001892501
0.013252150 0.016877995 0.013246605 0.016874529
0.004231929 0.007759520 0.004232214 0.007759473
0.004935664 0.006024936 0.004935755 0.006024918
0.013244752 0.010172285 0.013244089 0.010177023
0.004776771 0.004386822 0.004776809 0.004386798
0.002489318 0.004306051 0.002489434 0.004305583
0.003829265 0.007137977 0.003828620 0.007136657
0.004151932 0.004730742 0.004151070 0.004731174
0.016403216 0.007257717 0.016399175 0.007248357
0.004833030 0.003829570 0.004835250 0.003832287
0.006695100 0.027122296 0.006675230 0.027400578
0.009429363 0.006257379 0.009318566 0.006336135
0.005094849 0.005846597 0.005129240 0.005910439
0.006783134 0.003807223 0.006796265 0.003785654
0.008069277 0.147914497 0.008089249 0.147857319
0.013410286 0.007569011 0.013414904 0.007575196
0.014669800 0.008876625 0.014653477 0.008863873
0.010649506 0.010639112 0.010651683 0.010641277
0.002866167 0.004869699 0.002861952 0.004870489
0.006639728 0.022342279 0.006752817 0.022081043
0.011402505 0.005456529 0.011363482 0.005466331
0.005265721 0.006342254 0.005263519 0.006341567
0.017318871 0.027044937 0.017271128 0.027095042
0.019008030 0.011324047 0.018992390 0.011280033
0.004871547 0.005231500 0.004869736 0.005231706
0.006613589 0.002757420 0.006616860 0.002757610
0.009321829 0.009421645 0.009343590 0.009407817
0.003218963 0.002985271 0.003213409 0.002989232
0.001837507 0.013544109 0.001834093 0.013569247
0.010231975 0.008464979 0.010230732 0.008475100
0.010108888 0.012838431 0.010104386 0.012834729
0.025045401 0.023476096 0.024926857 0.023481336
0.010157315 0.003095741 0.010162265 0.003087343
0.007767570 0.006493600 0.007774838 0.006483003
0.013547555 0.016538227 0.013550535 0.016534923
0.005801019 0.001580192 0.005801025 0.001580196
0.013946604 0.009972581 0.013919918 0.009982295
0.005298741 0.000710840 0.005299076 0.000710783
0.004663235 0.002540566 0.004659409 0.002545006
0.010996190 0.007553272 0.010996375 0.007547210
0.002472328 0.008772686 0.002470433 0.008779089
0.008265657 0.005678388 0.008268922 0.005683266
0.008253293 0.009725246 0.008201678 0.009734916
0.003110009 0.006529594 0.003115658 0.006527461
0.010556162 0.002413207 0.010534089 0.002391406
0.004512756 0.004683880 0.004524054 0.004651262
0.018780915 0.042851987 0.018763258 0.042765336
0.005515216 0.000896878 0.005516107 0.000900542
0.010623406 0.007665922 0.010623512 0.007666033
0.005223925 0.005331943 0.005222154 0.005330078
0.007036893 0.010348555 0.007036110 0.010349884
0.002722456 0.001200681 0.002714808 0.001207576
0.001814630 0.001261686 0.001812943 0.001261551
0.004687678 0.002906607 0.004689315 0.002905603
0.006560093 0.002868450 0.006559426 0.002867738
0.005319122 0.004931300 0.005307876 0.004942926
0.009252375 0.004344137 0.009224113 0.004330540
0.009031043 0.018475162 0.008955650 0.018438158
0.002093445 0.004961526 0.002096789 0.004956303
0.001478234 0.004737037 0.001477981 0.004738182
0.016988171 0.008571537 0.016983134 0.008566906
0.005883341 0.002381367 0.005884410 0.002381926
0.006825870 0.009336904 0.006835629 0.009345004
0.006754109 0.008370046 0.006755933 0.008369742
0.005800314 0.017501666 0.005831557 0.017481902
0.006103041 0.010772096 0.006104695 0.010776850
0.005797289 0.002118579 0.005740621 0.002095638
0.005971222 0.013714018 0.005908337 0.013596238
0.003420384 0.005301925 0.003416605 0.005324425
0.002233077 0.000598915 0.002233767 0.000598280
0.004378558 0.001586958 0.004381960 0.001587185
0.002795709 0.006822033 0.002799097 0.006821807
0.005354275 0.006658772 0.005349283 0.006662060
0.013019231 0.018357860 0.013013628 0.018371072
0.009458461 0.005130829 0.009460956 0.005131085
0.002477143 0.003452263 0.002484368 0.003472969
0.003734696 0.002051100 0.003738740 0.002051290
0.007995163 0.007417857 0.008007578 0.007434196
0.001868960 0.006367705 0.001850616 0.006335975
0.022416876 0.018394605 0.022417785 0.018399703
0.002993560 0.004428611 0.002993577 0.004427343
0.017231430 0.013770540 0.017118701 0.013767873
0.004961420 0.000149187 0.004953354 0.000154577
0.014114944 0.007393030 0.014117280 0.007392376
0.004829519 0.004542610 0.004830693 0.004539038
0.018359928 0.001445050 0.018368587 0.001440169
0.008686882 0.012899852 0.008693652 0.012942793
0.002409884 0.009358397 0.002410464 0.009359501
0.003563507 0.003092868 0.003562176 0.003092184
0.007661199 0.004333010 0.007652870 0.004342907
0.011111233 0.017166302 0.011017042 0.017076446
0.008405219 0.005589809 0.008396215 0.005587587
0.005233825 0.012736164 0.005250681 0.012697702
0.015354867 0.004936527 0.015355304 0.004936852
0.006497981 0.007429586 0.006491019 0.007454225
0.018901977 0.037746037 0.019006505 0.037792567
0.008510395 0.014194807 0.008520700 0.014190163
0.013974297 0.012991277 0.013977072 0.012991198
0.004649919 0.011269367 0.004653006 0.011246452
