rot-8PA tran-8PA rot-n8PA tran-n8PA
0.005407702 0.009780663 0.005412013 0.009792871
0.005162433 0.001002865 0.005166562 0.001008563
0.008229351 0.005602261 0.008213835 0.005593738
0.007435060 0.002188386 0.007450141 0.002173351
0.005025393 0.006513932 0.005025184 0.006514528
0.014110997 0.022338709 0.014126703 0.022288190
0.004898615 0.006701186 0.004892597 0.006680858
0.010249880 0.013850917 0.010246424 0.013856862
0.003536697 0.005110000 0.003536617 0.005111473
0.001502706 0.002898267 0.001502058 0.002893472
0.010683578 0.007345686 0.010685824 0.007348269
0.009085117 0.007500140 0.009078360 0.007506687
0.003903082 0.005426164 0.003904472 0.005423413
0.004793992 0.008917460 0.004813530 0.008930656
0.009885989 0.003155316 0.009897299 0.003151862
0.013387213 0.017471189 0.013423240 0.017469867
0.006434718 0.004300355 0.006393954 0.004324841
0.008106032 0.013230597 0.008105834 0.013230965
0.005918850 0.001218566 0.005911549 0.001216273
0.010515429 0.010158802 0.010520449 0.010154194
0.002288559 0.009478228 0.002281685 0.009481942
0.013401891 0.008975062 0.013401720 0.008985986
0.002571277 0.007241175 0.002571330 0.007241013
0.007150513 0.008386840 0.007104577 0.008338995
0.007841905 0.000563098 0.007842103 0.000563478
0.002022379 0.004291587 0.002022404 0.004291857
0.000836510 0.003539826 0.000834775 0.003539442
0.009387296 0.009983619 0.009403787 0.009983618
0.005725738 0.016088410 0.005716247 0.016112560
0.013860830 0.013340037 0.013862771 0.013339365
0.008248909 0.015151785 0.008248086 0.015149176
0.011527489 0.007610285 0.011549722 0.007625191
0.005522644 0.004667636 0.005522951 0.004667452
0.004037552 0.004518127 0.004045248 0.004500811
0.008882439 0.005899980 0.008883615 0.005901940
0.011070870 0.003308715 0.011068378 0.003308136
0.015648115 0.015338220 0.015649215 0.015341306
0.004105484 0.003007523 0.004105787 0.003007406
0.003048349 0.007507922 0.003040549 0.007491128
0.001988437 0.001887923 0.001987034 0.001884893
0.008240374 0.004678314 0.008241780 0.004679207
0.005863816 0.001872380 0.005863374 0.001872600
0.020864990 0.010737691 0.020863315 0.010736661
0.009311588 0.014056090 0.009313510 0.014054392
0.006724692 0.002040666 0.006726361 0.002039720
0.013298397 0.012068491 0.013271099 0.012080240
0.020109999 0.011000815 0.020079362 0.010834163
0.009613892 0.006285464 0.009614700 0.006285556
