rot-8PA tran-8PA rot-n8PA tran-n8PA
0.033888455 0.185653944 0.032864159 0.176517912
0.093508182 0.348476896 0.092929794 0.343785070
0.018869438 0.100798969 0.018328074 0.097335891
0.111183601 0.303921051 0.110979359 0.299721637
0.107003338 0.280971638 0.106820575 0.280025583
0.010686226 0.042028581 0.010582310 0.041659586
0.045130405 0.049318863 0.045818548 0.040767779
0.292639470 0.286212723 0.367226597 0.337852953
0.021255905 0.010966661 0.020703444 0.009737461
0.279912264 0.397981054 0.272754859 0.490672979
0.045417835 0.120427407 0.041217622 0.126992103
0.063785703 0.805064724 0.064348479 0.803845517
0.068088852 0.890801716 0.068423623 0.890617182
0.057853335 0.097609447 0.059569333 0.099495590
0.020727843 0.050793884 0.019933315 0.050512727
0.077666664 0.393777162 0.078073025 0.393294106
0.054551673 0.216672028 0.054673543 0.216485830
0.016009844 0.063141551 0.016061912 0.063167703
0.168472589 0.538685864 0.150058920 0.455311227
0.008045666 0.007023443 0.008045538 0.007009370
0.032214243 0.113997361 0.031905095 0.113521714
0.012908292 0.027444028 0.013026020 0.028208351
0.014923975 0.052841557 0.014267646 0.050883164
0.072147279 0.277425573 0.069398222 0.267839118
0.017325176 0.040185297 0.019454612 0.047015131
0.026380892 0.067615262 0.026458124 0.067815039
0.044253010 0.171603672 0.043058947 0.170394941
0.011770058 0.043274957 0.013955477 0.033839009
0.041364851 0.398381105 0.041272203 0.385496724
0.119200692 0.469504522 0.118060999 0.479656599
0.038822860 0.076670052 0.038895297 0.076050610
0.188326085 0.439012058 0.199280450 0.475571087
0.018322537 0.026705078 0.018655471 0.026869809
0.048953570 0.191849591 0.049102536 0.192743337
0.016672278 0.058170314 0.017483078 0.060841932
0.052667046 0.556112231 0.053206258 0.555195174
0.007271421 0.032775336 0.007282810 0.032687430
0.059647991 0.422195457 0.059424668 0.423116774
0.030885236 0.233645009 0.033231872 0.238232305
0.991055137 0.422351553 0.020848891 0.420401793
0.011595326 0.056818387 0.011589558 0.054873476
0.024365194 0.081895049 0.024459743 0.081527445
0.102204983 0.369482447 0.102354011 0.367761185
0.061606475 0.165742732 0.060708321 0.162424670
0.054616830 0.245956382 0.054847472 0.246541067
0.008352796 0.052181688 0.007447062 0.046969733
0.014650889 0.147491238 0.014484112 0.147760833
0.082875109 0.552084089 0.085176413 0.547489547
0.016533464 0.039946330 0.016503720 0.041076017
0.024752731 0.104592421 0.023931035 0.101966089
0.031577391 0.061129993 0.030941978 0.060515329
0.040345329 0.114592718 0.038216227 0.111461440
0.051087275 0.038181492 0.049915045 0.037763699
0.055586049 0.094570606 0.055945681 0.095537377
0.091129396 0.274611053 0.091955309 0.275461963
0.046055165 0.166254119 0.047280547 0.168365887
