rot-8PA tran-8PA rot-n8PA tran-n8PA
0.027635572 0.105175608 0.027601375 0.104939501
0.069624621 0.304031843 0.069646449 0.696625267
0.080263194 0.114666942 0.081924657 0.116565003
0.085783422 0.706620797 0.085623687 0.708500990
0.066729386 0.235569373 0.067033751 0.235770258
0.006035831 0.028620603 0.005954042 0.028263171
0.059171601 0.147285327 0.054809913 0.127277675
0.109189125 0.081092714 0.093802351 0.075469231
0.012915143 0.008379662 0.011972037 0.007575996
0.122794181 0.876316307 0.117779498 0.884428386
0.220771882 0.459772001 0.796497555 0.460532057
0.033184684 0.775457774 0.033297733 0.224865384
0.048508643 0.207599620 0.048569209 0.207216420
0.043459687 0.886057416 0.043788928 0.885457974
0.016413439 0.017567188 0.016796271 0.018435531
0.980725689 0.402119124 0.082305013 0.402314505
0.042834814 0.220740742 0.042897603 0.220624194
0.016461150 0.111819312 0.016408899 0.111696853
0.112425094 0.470624693 0.113403438 0.452592116
0.007766516 0.018350948 0.007805145 0.018456911
0.064719170 0.106526856 0.065211855 0.106934195
0.006712722 0.005329004 0.006809179 0.005742504
0.017134966 0.031959629 0.016645091 0.030178168
0.072443303 0.654134482 0.072179686 0.338188654
0.027348373 0.059527093 0.029612526 0.064411507
0.005030670 0.038897679 0.004985732 0.038344450
0.081781764 0.254319881 0.082705802 0.255179034
0.027796832 0.298420253 0.026605260 0.313440670
0.028833927 0.361938781 0.028792693 0.645678844
0.098924018 0.204518128 0.105474391 0.216519307
0.031034283 0.093055062 0.031008550 0.092813087
0.106949119 0.208962016 0.108188610 0.211396402
0.004881237 0.010561333 0.004621467 0.010547044
0.030976118 0.192051299 0.031279385 0.194124829
0.009468778 0.084158952 0.009679602 0.085004678
0.040181956 0.500144839 0.040609712 0.499166101
0.017002506 0.975067516 0.016969156 0.975044966
0.029969852 0.411338036 0.030199789 0.386380284
0.014011740 0.141487321 0.012974698 0.145796160
0.074283379 0.384141924 0.074089222 0.387216074
0.032199595 0.091673095 0.030342011 0.085617760
0.028410991 0.054884804 0.025859267 0.053267316
0.076095842 0.361044776 0.076287812 0.360208010
0.046020608 0.158802197 0.044272190 0.151676835
0.034588360 0.225731535 0.035143600 0.773089489
