rot-8PA tran-8PA rot-n8PA tran-n8PA
0.022313528 0.130575330 0.023502222 0.136349922
0.014072365 0.032978153 0.015688452 0.040471755
0.019882503 0.052203120 0.014354736 0.039395378
0.026832651 0.054606214 0.019391342 0.043864441
0.004367081 0.021831392 0.003887508 0.020269759
0.009687684 0.029887366 0.009687157 0.030179377
0.007149481 0.018137299 0.005789831 0.013273650
0.003303410 0.015753844 0.002894094 0.013098258
0.008468841 0.047456314 0.008836048 0.048458309
0.015533860 0.085115323 0.016074783 0.087835564
0.014224889 0.092449149 0.012774158 0.080825431
0.009319181 0.038808678 0.007046525 0.024450975
0.010572003 0.039658573 0.012485505 0.047426647
0.004795994 0.020584364 0.005940326 0.014850466
0.002016238 0.019069314 0.002066828 0.017780445
0.006630652 0.039512781 0.006779467 0.040584521
0.010784051 0.038650156 0.011549451 0.036364316
0.008745341 0.039550041 0.008182087 0.038163177
0.011285916 0.043408278 0.010601550 0.034671369
0.003716172 0.048266379 0.002845230 0.045723567
0.002494442 0.004436223 0.002763789 0.003451952
0.008686252 0.005696821 0.007478317 0.004624016
0.006937265 0.015845670 0.006707305 0.015825232
0.006816084 0.028130588 0.007035258 0.029400844
0.011471814 0.030555805 0.011937353 0.031976454
0.007175958 0.061337380 0.005997152 0.055961940
0.008930931 0.022994789 0.006948737 0.008469642
0.008690035 0.021607391 0.009559946 0.023315826
0.004786918 0.007024656 0.004900816 0.011578534
0.000515991 0.022055054 0.002030322 0.015692688
0.005632763 0.023230661 0.005403875 0.022912008
0.004867776 0.021411646 0.005042918 0.014766565
0.008852937 0.026431594 0.007455064 0.021631180
0.002764115 0.011394302 0.002810766 0.014260036
0.014223050 0.052772238 0.012550739 0.043215912
0.010412057 0.022716958 0.007943550 0.019548591
0.010228844 0.020174103 0.010521311 0.020783626
0.019622342 0.036565237 0.012793549 0.027110973
0.012061201 0.050001801 0.012377877 0.050964149
0.008274995 0.038972719 0.010779783 0.052640588
0.013273392 0.036343372 0.012684482 0.036958823
0.008675998 0.018454736 0.009924647 0.021817906
0.007768890 0.025339861 0.007474312 0.024352997
0.011766305 0.027269415 0.010730475 0.025699372
0.004486877 0.033545865 0.004683146 0.023015094
0.012547903 0.028013628 0.011005943 0.023186150
0.010485446 0.054773827 0.010368208 0.055035179
0.007071299 0.012925924 0.006985517 0.010439483
0.003037732 0.017294934 0.003145956 0.018663896
0.005821530 0.028264997 0.006070408 0.029332306
