rot-8PA tran-8PA rot-n8PA tran-n8PA
0.004609267 0.009797148 0.004607782 0.009839590
0.015544365 0.046898558 0.015541715 0.046894619
0.002635776 0.003931797 0.002633396 0.003901000
0.003006292 0.003720790 0.003002378 0.003739543
0.010878723 0.003937552 0.010858604 0.003899435
0.011716004 0.010478772 0.011709153 0.010443695
0.012751068 0.016438093 0.012770289 0.016471530
0.004111653 0.008889701 0.004111255 0.008890456
0.007467247 0.019613904 0.007469906 0.019609318
0.008459139 0.013219114 0.008457793 0.013214102
0.004338328 0.008823648 0.004338259 0.008824577
0.046560721 0.067717855 0.046586295 0.067618968
0.007253725 0.000741582 0.007231672 0.000730696
0.031932878 0.053099945 0.031812243 0.052950547
0.006739032 0.001792671 0.006777323 0.001780236
0.007971325 0.014344837 0.007961616 0.014319092
0.019946241 0.066039409 0.019969645 0.066147172
0.013790194 0.026036282 0.013777432 0.025993117
0.010855995 0.008426008 0.010799603 0.008425935
0.009470202 0.009584732 0.009451240 0.009607520
0.010118880 0.019372933 0.010133806 0.019341954
0.008484396 0.006439936 0.008491851 0.006438988
0.005418599 0.004907525 0.005383439 0.004929559
0.005749106 0.012399311 0.005739607 0.012385623
0.001820546 0.005213379 0.001817938 0.005221913
0.005153608 0.005873632 0.005143954 0.005867825
0.009025143 0.008405319 0.009063906 0.008434996
0.009801224 0.012842286 0.009754609 0.012822528
0.002247235 0.004419543 0.002252818 0.004443554
0.003244387 0.004830853 0.003242659 0.004835866
0.003831558 0.006653974 0.003829347 0.006662465
0.009951596 0.008563420 0.009951259 0.008590518
0.009691891 0.006970544 0.009682729 0.006944026
0.009212152 0.012588305 0.009214118 0.012612736
0.001645446 0.004585620 0.001652991 0.004601356
0.010391485 0.006453690 0.010373964 0.006421038
0.001933493 0.002038198 0.001941595 0.002059505
0.009593237 0.002104876 0.009533250 0.002069978
0.002352293 0.002568347 0.002347745 0.002569536
0.057830192 0.131177923 0.057826200 0.131175672
0.001129386 0.002750699 0.001130727 0.002754815
0.009457740 0.011541035 0.009469711 0.011573532
0.010608395 0.015409737 0.010607656 0.015408172
0.012530521 0.015217234 0.012522886 0.015234985
0.008547298 0.002549038 0.008529213 0.002523737
0.008173053 0.016368479 0.008192614 0.016305353
0.006313315 0.009736976 0.006314324 0.009736046
0.009989597 0.014371563 0.009966864 0.014280921
0.004892773 0.009880334 0.004892706 0.009880310
0.018923384 0.071398210 0.018965837 0.071583900
0.010095901 0.008930455 0.010087437 0.008929319
0.004005640 0.006047095 0.004007547 0.006055389
0.003141122 0.005184218 0.003145176 0.005189383
0.009134597 0.029025262 0.009095083 0.028896257
0.009518221 0.004964233 0.009547428 0.004994125
0.008540858 0.010750169 0.008531787 0.010723243
0.008071215 0.006985828 0.008070117 0.006996221
0.010282072 0.006442901 0.010275435 0.006371732
0.003728718 0.000396621 0.003727330 0.000397013
0.006534756 0.004549496 0.006540138 0.004549249
0.047962881 0.055439965 0.047949657 0.055409519
0.005788109 0.007871465 0.005811833 0.007867542
0.046693624 0.074941667 0.046776882 0.075053155
0.007040581 0.010798673 0.007027252 0.010872450
0.012509292 0.017899937 0.012516038 0.017927688
0.013088469 0.017722355 0.013094684 0.017739311
0.015224486 0.023714745 0.015253799 0.023740704
0.004437929 0.004973851 0.004439913 0.004984390
0.053037581 0.068603898 0.053095598 0.068691146
0.006311091 0.003387918 0.006343994 0.003369776
0.005409578 0.005380834 0.005425911 0.005481348
0.014675594 0.031752920 0.014667853 0.031730390
0.007918068 0.004719691 0.007904098 0.004718825
0.002162716 0.003239246 0.002162538 0.003230978
0.037246845 0.075986462 0.037165322 0.075785921
0.006512329 0.003243130 0.006492950 0.003238945
0.003730297 0.008467926 0.003730747 0.008449139
0.007220504 0.007688304 0.007235961 0.007600911
0.039294985 0.061527544 0.039334412 0.061713838
0.008940098 0.022951292 0.008953049 0.022995990
0.004635163 0.007769575 0.004601966 0.007765631
0.012904016 0.011947526 0.012809127 0.011770804
0.010919943 0.009314868 0.010953045 0.009333182
0.008506756 0.022010210 0.008509241 0.022000339
0.005893465 0.007780697 0.005885660 0.007780550
0.007637433 0.001728199 0.007636955 0.001727031
0.010796983 0.010281416 0.010805055 0.010253738
0.004833855 0.006765566 0.004769688 0.006165634
0.005503318 0.002526922 0.005427406 0.002508950
0.011488845 0.042184883 0.011777232 0.042431983
0.005724062 0.003752809 0.005722812 0.003739405
0.006729350 0.002888998 0.006617161 0.002891174
0.025195706 0.028085355 0.025417286 0.027949035
0.012187140 0.011930077 0.012185892 0.011928150
0.001824523 0.005548862 0.001805420 0.005594469
0.014807139 0.020664915 0.014805442 0.020658640
0.006313256 0.074831951 0.006315818 0.074332725
0.008761094 0.025705528 0.008713775 0.025528439
0.034010384 0.061878643 0.033994170 0.061886481
0.002000609 0.000667304 0.002038268 0.000722913
0.009440887 0.008392435 0.009440268 0.008385315
0.009099487 0.003702391 0.009098234 0.003707269
0.004550264 0.002657534 0.004553433 0.002661415
0.021504190 0.016368487 0.021246722 0.016363978
0.008864438 0.007793173 0.008876058 0.007793789
0.009198172 0.016088072 0.009198334 0.016084240
0.002717915 0.004928975 0.002735796 0.004949552
0.025663427 0.004462275 0.025658907 0.004466429
0.003352409 0.002001892 0.003335650 0.001985390
0.007851484 0.003970738 0.007831220 0.003962217
0.007112329 0.002815899 0.007109016 0.002816133
0.013800092 0.007217059 0.013797378 0.007225467
0.004071719 0.001160744 0.004063689 0.001158986
0.006597340 0.011288414 0.006595638 0.011282137
0.000937898 0.004883331 0.000941523 0.004892670
0.021977196 0.028125307 0.022089853 0.028176314
0.023153817 0.051936585 0.023197444 0.052258966
0.016611096 0.029013867 0.016546982 0.028812026
0.007067152 0.013530843 0.007073124 0.013509468
0.023626143 0.033606646 0.023632622 0.033633924
0.009036848 0.006131567 0.009040279 0.006138347
0.017156972 0.030228586 0.017157646 0.030229874
0.007570632 0.001915224 0.007570693 0.001914881
0.005942976 0.006452125 0.005945230 0.006442112
0.003020295 0.016420094 0.003014169 0.016471090
0.008593193 0.008743433 0.008572398 0.008717464
0.002211679 0.005476874 0.002211598 0.005476098
0.011907500 0.042473117 0.011923186 0.037145964
0.004553724 0.003503345 0.004555958 0.003505559
0.004813094 0.002742263 0.004814321 0.002739496
0.024995052 0.060374618 0.024959491 0.060269399
0.011563824 0.010947745 0.011613864 0.011026156
0.007375429 0.009404134 0.007301956 0.009659210
0.016892445 0.026142189 0.016870256 0.025952375
0.006968363 0.009463789 0.006964765 0.009476031
0.009088857 0.005873916 0.009105903 0.005896660
0.001881379 0.003359893 0.001897385 0.003387683
0.002787838 0.001969722 0.002786591 0.001965966
0.002481071 0.007707508 0.002484905 0.007727689
0.012545607 0.016464820 0.012548338 0.016508931
0.016063057 0.018260113 0.016101770 0.018311271
0.005323122 0.006035061 0.005300144 0.006013112
0.013269639 0.054742266 0.013235850 0.054777382
0.002762336 0.005547865 0.002772295 0.005529566
0.011708490 0.018213020 0.011742983 0.018235870
0.015949294 0.005282155 0.015936751 0.005280768
0.010893918 0.016507471 0.010840735 0.016522497
0.011849127 0.019984033 0.011832412 0.019933282
0.014002995 0.002586471 0.014015710 0.002580696
0.018199705 0.016164490 0.018174775 0.016141052
0.002043582 0.006762204 0.002042035 0.006761616
0.009266813 0.016570670 0.009242852 0.016480581
0.005558546 0.002630147 0.005574931 0.002627406
0.005567352 0.047191298 0.005522857 0.046766659
0.007085378 0.011437391 0.007097953 0.011485195
0.005641757 0.014017808 0.005609420 0.013968016
0.006205299 0.010326124 0.006199486 0.010359189
0.018446401 0.023318710 0.018453976 0.023339323
0.004094652 0.010308086 0.004097276 0.010281648
0.011332105 0.016693758 0.011087669 0.016752366
0.018774689 0.020556535 0.018784227 0.020574360
0.003607607 0.002988604 0.003613464 0.003004180
0.008863286 0.018738890 0.008849935 0.018748134
0.004459067 0.008551141 0.004454070 0.008536951
0.015743893 0.019997950 0.015744915 0.019997833
0.004306343 0.004428933 0.004278289 0.004435541
0.009329521 0.009226570 0.009361327 0.009269848
0.002146150 0.005240766 0.002146240 0.005237482
0.002505625 0.022648378 0.002507707 0.022686973
0.002496100 0.005420968 0.002497248 0.005418561
0.005051652 0.017327952 0.005025513 0.017264355
0.008001676 0.005524507 0.007952521 0.005543940
0.018640367 0.021966066 0.018623038 0.021931060
0.010972375 0.003557673 0.010961666 0.003552280
0.017939696 0.031010103 0.017938073 0.030997052
0.026714478 0.017515517 0.026710870 0.017518972
0.002737194 0.004198877 0.002742526 0.004191674
0.010469360 0.011897376 0.010441734 0.011844985
0.014308325 0.022636463 0.014632110 0.023059545
0.013111983 0.019693769 0.013105350 0.019682069
0.009030808 0.005338801 0.008973769 0.005290399
0.002926581 0.005892342 0.002926504 0.005892227
0.012931064 0.010746809 0.012903034 0.010733002
0.006850703 0.007351022 0.006840292 0.007337462
0.017690390 0.073591559 0.017715420 0.073784085
0.015500044 0.002933244 0.015374551 0.002972493
0.017467544 0.029013762 0.017007636 0.028025957
0.019219433 0.016104657 0.019210084 0.016082196
0.005818380 0.007940640 0.005832322 0.007945941
0.003517762 0.006506451 0.003517415 0.006506162
0.017497619 0.043396591 0.017305368 0.043117060
0.012486948 0.004567754 0.012414842 0.004637438
0.004981340 0.016789621 0.004990666 0.016831742
0.021014095 0.030720635 0.021020462 0.030719546
0.003046570 0.005203287 0.003047730 0.005201364
0.009852041 0.017150756 0.009850571 0.017158167
0.004000837 0.006333007 0.004020637 0.006345766
0.020704248 0.042568422 0.020772401 0.042709382
0.050856004 0.088024732 0.050988492 0.088194344
0.006121341 0.012693767 0.006032929 0.012510474
0.019747854 0.057612836 0.019751960 0.057617902
0.007085685 0.015405085 0.007088546 0.015405217
