rot-8PA tran-8PA rot-n8PA tran-n8PA
0.048110276 0.711603964 0.010033320 0.036872217
0.076430576 0.305815203 0.076459209 0.305584976
0.041049796 0.108615892 0.040490343 0.107800268
0.085356826 0.292222094 0.085326075 0.291234992
0.059063701 0.222780758 0.059375700 0.223104756
0.004416454 0.020278338 0.004340555 0.019940657
0.080420977 0.173220716 0.077115164 0.157328358
0.124003449 0.302665002 0.125702372 0.304263679
0.007633119 0.003487923 0.007775172 0.003035101
0.052456169 0.087672096 0.048671184 0.083821215
0.147003239 0.461234887 0.148943280 0.465004378
0.021800956 0.221568816 0.021961654 0.221934493
0.046742423 0.212654422 0.046741331 0.212271013
0.037483913 0.110201033 0.037657357 0.110327793
0.040159014 0.038962912 0.039971346 0.039455141
0.084130747 0.381046322 0.084460963 0.381254206
0.049561237 0.223701131 0.049654762 0.223532135
0.006540409 0.083128814 0.006535365 0.083132118
0.101595366 0.614233443 0.100384710 0.632621575
0.007976991 0.029217176 0.008016000 0.029346241
0.036355287 0.110203511 0.036069149 0.109777473
0.006093321 0.006981850 0.006115673 0.007107307
0.011152287 0.016743429 0.010774650 0.015013475
0.053750300 0.226937132 0.053984834 0.227487705
0.009837044 0.066194214 0.010213689 0.066924026
0.011178138 0.039294989 0.011085823 0.038920265
0.056296021 0.411940578 0.057567216 0.420083503
0.044932023 0.146709796 0.043212677 0.159889949
0.029184873 0.669933801 0.028766053 0.675837421
0.038415528 0.233397665 0.038474006 0.233210457
0.035685083 0.080664057 0.035616451 0.080288535
0.043812257 0.174700421 0.042035346 0.177871494
0.010541166 0.044423246 0.010613430 0.044654250
0.025093885 0.076162416 0.025443845 0.081407374
0.010804663 0.078691695 0.010468250 0.079703894
0.054078656 0.553525710 0.053683194 0.554639934
0.015401044 0.013882296 0.015335714 0.013844574
0.044941910 0.543498867 0.064443417 0.237099292
0.023882171 0.159890958 0.023635392 0.159811704
0.051619986 0.711765973 0.052473083 0.709643448
0.031350392 0.076471398 0.028452857 0.068495163
0.012124195 0.044612039 0.011082702 0.044048680
0.068631674 0.359131106 0.069073642 0.358207374
0.048328180 0.194297506 0.046808191 0.187340655
0.038859676 0.239735283 0.039323251 0.240013484
0.018990258 0.062301033 0.018637552 0.060973159
0.015329948 0.072426611 0.015415800 0.072190101
0.058077500 0.680681315 0.058284536 0.679518603
0.090442720 0.349067714 0.086950040 0.340392485
0.025463606 0.032868480 0.025443330 0.032865743
0.088919811 0.130264497 0.089032199 0.130364144
0.049052531 0.169563403 0.049210996 0.169587113
0.036975435 0.061189836 0.037001648 0.061120056
0.036624984 0.098480927 0.036602028 0.098394213
0.111594322 0.289637374 0.112861918 0.295707749
0.033182396 0.135190123 0.033304047 0.135168544
0.049863373 0.672377862 0.050174399 0.659786654
0.022246169 0.004547314 0.022031809 0.004554038
0.074919575 0.772755876 0.073891643 0.780312066
0.935463285 0.229351547 0.935534514 0.228925103
0.009651237 0.068643459 0.009663177 0.068655656
0.107047616 0.767706284 0.104707473 0.769884434
0.078107109 0.575060695 0.078498754 0.575079206
0.083405562 0.526808881 0.083854968 0.527145203
0.159390954 0.458572817 0.156511514 0.452292688
0.062894832 0.298625710 0.062967056 0.298542484
0.123422157 0.377694969 0.117050955 0.357117556
0.052958909 0.593561040 0.053042596 0.592498656
0.043528775 0.215708654 0.043535480 0.215762501
0.050380077 0.212957776 0.050855241 0.215317081
0.013530959 0.063619519 0.013299676 0.060096395
0.089638962 0.808527397 0.089923764 0.807988650
0.034552573 0.097698284 0.034612374 0.097792669
0.142176878 0.606699334 0.136574565 0.638455632
0.028763602 0.175422204 0.028734751 0.175280021
0.027550434 0.123436749 0.027553385 0.123468911
0.035091768 0.088052751 0.031577417 0.082368831
0.038813002 0.250175614 0.038482362 0.248498691
0.150432219 0.696212887 0.151117108 0.693745531
0.029762401 0.052019655 0.029401630 0.051677248
0.022557173 0.047412476 0.022512921 0.047397028
0.010374202 0.042660583 0.010495198 0.042989216
0.030693380 0.014977583 0.030486589 0.015302949
0.058227627 0.257388803 0.057270667 0.248728165
0.084702573 0.475101961 0.072679625 0.726985165
0.013355508 0.029825666 0.013480598 0.031619489
0.018835896 0.033747565 0.018519088 0.032889000
0.058914537 0.517936149 0.061014074 0.515154734
0.077753305 0.505228247 0.078429291 0.506198026
0.033709056 0.181878268 0.033699129 0.182595334
0.043237048 0.281946324 0.043278034 0.282075842
0.106205865 0.520762374 0.106282778 0.516387121
0.009406091 0.007894737 0.009194495 0.008140358
0.076384799 0.290626706 0.074492517 0.282046117
0.010478329 0.091443386 0.010319405 0.090305181
0.058073678 0.294401371 0.057733401 0.291933384
0.015765044 0.083789734 0.015595798 0.083421546
0.065269691 0.290735587 0.065319955 0.290870236
0.075877091 0.531509756 0.075604206 0.528675455
0.044249736 0.529453727 0.044625723 0.535342524
0.005630977 0.027104932 0.005439940 0.025929532
0.020299062 0.087148347 0.019857216 0.084981605
0.043636199 0.210460425 0.043595695 0.210111667
0.970159720 0.226956273 0.099881335 0.220232830
0.044619956 0.254075717 0.044537528 0.253661828
0.022183611 0.008823295 0.021976718 0.009250248
0.050575280 0.179003338 0.049832667 0.177097286
0.084932913 0.632932358 0.085065316 0.632792690
0.111331909 0.691449161 0.110721713 0.693301223
0.078684678 0.400716545 0.079406679 0.604376770
0.010290129 0.042595419 0.010437290 0.043247724
0.017847813 0.289966172 0.018063438 0.290228054
0.015200037 0.097845838 0.013492598 0.096061422
0.022546895 0.051975189 0.022374195 0.056585119
0.103023168 0.400502132 0.103402239 0.398758599
0.068418905 0.680145614 0.071510193 0.696439639
0.018298555 0.068600976 0.018606502 0.069163268
0.023375958 0.207060445 0.023350377 0.206466854
0.051650716 0.557730739 0.051405707 0.554361887
0.028366393 0.027991348 0.025250087 0.024233582
0.069408550 0.111809275 0.070368637 0.114057356
0.079535412 0.183321500 0.080804915 0.186496304
0.014476215 0.033682345 0.014202815 0.033383566
0.097217134 0.296262194 0.097453613 0.296317841
0.077067602 0.178063190 0.077055044 0.177447319
0.062780955 0.233987579 0.067447953 0.237844332
0.026903089 0.142746124 0.026867577 0.142071592
0.109242046 0.571924721 0.108644288 0.576341413
0.006724375 0.084565832 0.006943592 0.086041061
0.003930701 0.032256417 0.003651962 0.034054280
0.125457573 0.273660997 0.129325409 0.285614540
0.076402589 0.647121144 0.076389196 0.647242551
0.052225566 0.156615699 0.050614629 0.140810072
0.075994136 0.269787727 0.075804603 0.269504190
0.063348059 0.149025165 0.063422074 0.148714385
0.121214116 0.340813801 0.123321684 0.344310019
0.056714677 0.215801359 0.056485314 0.214713038
0.065183783 0.245293555 0.064755837 0.241635844
0.117930065 0.618742879 0.093640359 0.745747807
0.099681914 0.406410546 0.097931133 0.400367959
0.031441567 0.058940470 0.031593396 0.055831121
0.075693553 0.110371069 0.074605049 0.109193955
0.041474317 0.104126711 0.042520971 0.104212136
0.037949175 0.157871393 0.038023760 0.158369884
0.018858088 0.092504093 0.019190281 0.093403921
0.011729041 0.013968424 0.011928907 0.014121864
0.028697860 0.019450556 0.027962983 0.019072070
0.010464867 0.045591973 0.010116535 0.044213419
0.104530531 0.901673577 0.101266222 0.903911965
0.012548356 0.038743686 0.012452919 0.039060348
0.062719011 0.155368469 0.062523427 0.154847273
0.014348817 0.017976842 0.014379051 0.017985167
0.010484003 0.034190030 0.010563958 0.034428320
0.023073931 0.089534135 0.023406471 0.090910055
0.063112406 0.294983064 0.061814354 0.289088266
0.117558164 0.484083171 0.117536818 0.483404589
0.059383328 0.775601518 0.059352515 0.780047097
0.014668258 0.036881302 0.017836331 0.046629058
0.019461052 0.132500801 0.021951611 0.134676261
0.011321077 0.058973772 0.010304437 0.052283038
0.017107122 0.026676637 0.017089161 0.026497159
0.101732564 0.232574182 0.102102303 0.232537586
0.025126136 0.091025794 0.024671786 0.089068884
0.055741024 0.419825592 0.055965170 0.418897267
0.069377468 0.200874319 0.068445113 0.195215788
0.036922612 0.244855196 0.036996210 0.244789441
0.125050956 0.335338581 0.125525738 0.335052936
0.019275807 0.047802939 0.019483321 0.048370156
0.071799897 0.622828760 0.070813206 0.623976807
0.026152597 0.177449150 0.026963601 0.184001976
0.061763062 0.143673038 0.060888122 0.142211074
0.187794505 0.514671709 0.194299057 0.528141786
0.039785612 0.480561841 0.015725123 0.051496726
0.998879685 0.183615165 0.999123428 0.184621992
0.016298739 0.157005898 0.016690481 0.154256234
0.012880345 0.055972008 0.013176601 0.057038946
0.031896168 0.095982710 0.033808590 0.103385686
0.007241037 0.009367635 0.007400304 0.009100406
0.009947657 0.004593508 0.010149108 0.004635039
0.011964981 0.053569520 0.012104068 0.053639666
0.070262134 0.795482459 0.060600462 0.819601910
0.006016827 0.026478295 0.005986202 0.027350538
0.036937612 0.119424305 0.036504125 0.117344773
0.015650202 0.048726487 0.015797275 0.048931176
0.049160292 0.148324721 0.046312787 0.137023679
0.021352043 0.034347523 0.021359892 0.034386669
0.108211842 0.687405544 0.106231471 0.698654619
0.059324945 0.162246992 0.057931219 0.156347803
0.103749631 0.399768803 0.101389137 0.390195707
0.041261583 0.311927488 0.041367098 0.309151437
0.014210150 0.018358661 0.011394961 0.016765661
0.019520953 0.075315986 0.019326158 0.074343489
0.039183169 0.236760885 0.038680942 0.233250591
0.027912068 0.087639687 0.029794750 0.092912673
0.027655285 0.253444433 0.026409395 0.248372355
0.041227830 0.207405056 0.041652835 0.208308823
0.073806307 0.270270347 0.073968888 0.270577152
0.042883289 0.126631081 0.041723282 0.132382683
0.080449602 0.587628928 0.080700910 0.588915380
0.014813215 0.037087100 0.014589414 0.036796173
0.058795483 0.193566735 0.057335415 0.189438046
0.031103231 0.085743181 0.029899755 0.085240645
0.989050261 0.379828333 0.989184608 0.380358419
0.027234545 0.114184054 0.026939631 0.112448812
0.089289112 0.800084385 0.089386943 0.800070681
0.013536810 0.088408441 0.013495592 0.088305030
0.024714851 0.351225439 0.024897584 0.353198467
0.016786871 0.067025713 0.016398071 0.064905382
0.082733910 0.674047584 0.079628182 0.689131138
0.025765093 0.062655897 0.025480279 0.063355747
0.019847843 0.070842669 0.019835254 0.070422225
0.111595023 0.547340983 0.111349781 0.548532235
0.135518314 0.601838328 0.135480047 0.604878017
0.025419787 0.118123474 0.021950334 0.101782523
0.063925125 0.120532862 0.064046829 0.119344709
0.005209144 0.010029178 0.005199067 0.010215646
0.013074652 0.010824102 0.013431077 0.011209603
0.013437496 0.051029783 0.013439988 0.050824316
0.019856356 0.046095897 0.020257001 0.046543634
0.056974710 0.594914891 0.057176219 0.594471984
0.079145283 0.683735248 0.971520180 0.307784668
0.052196817 0.103068962 0.046820529 0.096393640
0.012521893 0.033684235 0.011796281 0.032324787
0.038569685 0.091989273 0.037821413 0.089778586
0.043252578 0.094636158 0.042677214 0.094004484
0.063659683 0.203438056 0.063656480 0.202894261
0.039274913 0.158930978 0.039389216 0.159031826
0.048248900 0.168837786 0.048250272 0.165473207
0.015864147 0.045102454 0.015960248 0.045466837
0.113875975 0.685798720 0.094165761 0.278900676
0.042724274 0.117209139 0.042962427 0.117808473
0.065935652 0.633515424 0.065917582 0.633862993
0.082055003 0.192991359 0.081847725 0.193183838
0.013239549 0.067279183 0.013225472 0.067566112
0.108363522 0.618248540 0.108278620 0.618983531
0.059700700 0.152308913 0.059419602 0.152165366
0.017022985 0.069311644 0.016751264 0.068881047
0.012609616 0.018489169 0.013053039 0.018941958
0.042767949 0.117602060 0.042660897 0.117321839
0.074550922 0.223183819 0.075879535 0.223664954
0.011850891 0.050548614 0.011850470 0.050544195
0.006564354 0.021738403 0.006141457 0.020256362
0.026599015 0.177981912 0.025120994 0.172467192
0.080764050 0.267702808 0.084110532 0.276717749
0.139844647 0.447713630 0.098097299 0.819243962
0.032971208 0.161169221 0.033405231 0.162178566
0.023651275 0.062490411 0.022877965 0.069482039
0.020095044 0.059423070 0.020096045 0.059544309
0.063255667 0.735648420 0.058962937 0.753828873
0.028723240 0.125631401 0.026960521 0.115168538
0.048071410 0.043224082 0.041795379 0.038752250
0.013307299 0.027778003 0.013044828 0.027083765
0.006366951 0.035075563 0.006393056 0.035154767
