rot-8PA tran-8PA rot-n8PA tran-n8PA
0.000422703 0.008565493 0.000974546 0.003102108
0.002260513 0.002397369 0.002446221 0.002872713
0.004532806 0.007885659 0.998306888 0.005770185
0.004935583 0.007486602 0.003345000 0.006038585
0.000857544 0.005395625 0.000768649 0.005190802
0.002614833 0.006885491 0.002002165 0.005836014
0.001935787 0.003575779 0.001825839 0.003059196
0.000647564 0.002719025 0.000640737 0.002228011
0.000794738 0.001993996 0.000390342 0.000812911
0.001584314 0.002482670 0.001253535 0.001802760
0.001257994 0.001265820 0.000966967 0.000588943
0.002525863 0.002335630 0.002800671 0.002150341
0.001201817 0.001892412 0.000762323 0.002657131
0.004082349 0.018619690 0.003823377 0.016518754
0.001953001 0.008291460 0.000866225 0.005666719
0.000509904 0.002472366 0.000579540 0.001886792
0.001870857 0.001300371 0.001879573 0.001008302
0.001778414 0.007935841 0.001191892 0.006163126
0.003279984 0.011433327 0.003233569 0.010457028
0.000865091 0.010241187 0.001071090 0.008520654
0.002010784 0.006991706 0.002144591 0.009139754
0.001758057 0.001340310 0.001585314 0.001471109
0.001730248 0.002974958 0.001246643 0.002178546
0.000652751 0.001587215 0.000436478 0.000557934
0.001633854 0.002824199 0.001157747 0.000682461
0.000457877 0.006380656 0.000154792 0.004384783
0.002143482 0.003597389 0.001917250 0.002133860
0.001724334 0.002609678 0.000909014 0.001372987
0.001653182 0.003861777 0.001612248 0.004331376
0.001320312 0.002585167 0.001223418 0.002065254
0.001900338 0.007229646 0.001857252 0.007457087
0.001511011 0.004735826 0.001524475 0.003858811
0.002612371 0.007837794 0.002428822 0.007424721
0.001620060 0.005675239 0.001260480 0.006171236
0.004552131 0.014573687 0.004591153 0.015130921
0.002347928 0.005435855 0.001712367 0.004897974
0.003095672 0.004803278 0.002488247 0.004200141
0.004338998 0.005615368 0.002690355 0.004359179
0.002359472 0.008682060 0.001904173 0.007241167
0.002586925 0.004924574 0.002334939 0.005835542
0.003080238 0.008712755 0.002187618 0.006015878
0.001593076 0.009760625 0.001351720 0.008251025
0.000690234 0.003011213 0.000736792 0.002664635
0.000389002 0.001377111 0.000389034 0.001367770
0.000526098 0.001791382 0.000513089 0.002046272
0.000994041 0.007584838 0.000730639 0.005532182
0.005223997 0.007234804 0.003062536 0.005702663
0.000792388 0.001959445 0.000439055 0.003952203
0.009268539 0.018623220 0.009069661 0.018085173
0.000947013 0.001322960 0.000973631 0.001664396
0.005718432 0.004048632 0.003786269 0.001893019
0.006290012 0.030286116 0.004490175 0.022785354
0.000338393 0.000989709 0.000300295 0.000740457
0.002941281 0.004647047 0.002063528 0.003705514
0.000209116 0.003566844 0.000238561 0.002881394
0.002985669 0.005639124 0.002407506 0.004501999
0.001862897 0.002679383 0.001470022 0.001417349
0.001234492 0.000171653 0.001471770 0.000911879
0.000613835 0.002065448 0.000509037 0.002195160
0.000950521 0.001331573 0.000718219 0.000887975
0.003811820 0.007588868 0.003129909 0.006502712
0.001236174 0.006117026 0.001121178 0.006046313
0.001845150 0.003093978 0.001731800 0.002799455
0.002227281 0.004115274 0.002314247 0.005129192
0.002122940 0.010405492 0.002254406 0.011730595
0.002344581 0.002803868 0.002242524 0.001979361
0.001209770 0.008114026 0.001153065 0.007867408
0.001738249 0.001389458 0.001361718 0.000834221
0.004350413 0.008673083 0.004371465 0.009296852
0.004704827 0.008161621 0.003974347 0.007350131
0.000566132 0.001478536 0.000845736 0.002794755
0.001147510 0.002548970 0.001162217 0.003801984
0.002017690 0.003831581 0.001331480 0.003831165
0.002342268 0.002378630 0.001679041 0.000909755
0.000508111 0.001221952 0.000490981 0.001197324
0.004021579 0.007054343 0.003949593 0.007157208
0.004749121 0.002296829 0.004594616 0.002580469
0.003147295 0.004704387 0.002725657 0.004232776
0.000925884 0.001441404 0.001027377 0.001461267
0.001614600 0.006517917 0.001896779 0.007881040
0.001379749 0.006765556 0.001078571 0.005684634
0.001210558 0.003078835 0.000813924 0.001790707
0.002266924 0.012171944 0.002299110 0.007232817
0.000976461 0.001144013 0.000867593 0.001083109
0.001623455 0.001850287 0.001278971 0.002023851
0.003742799 0.016086884 0.003682876 0.016379082
0.000867469 0.003374316 0.001241945 0.004543921
0.001323392 0.001939199 0.001688149 0.004419961
0.002028233 0.001353418 0.001621603 0.000756188
0.001892521 0.004446290 0.001742653 0.006094509
0.002359959 0.004284270 0.001706925 0.002810140
0.001842775 0.004838509 0.001598168 0.003909343
0.002351947 0.005664892 0.001593824 0.004666133
0.001175319 0.006315705 0.001132943 0.006319411
