rot-8PA tran-8PA rot-n8PA tran-n8PA
0.023858760 0.396729503 0.026830559 0.396846179
0.161847960 0.450830413 0.164754935 0.435937158
0.047280328 0.342823776 0.046944134 0.339764893
0.046246989 0.693286237 0.047343271 0.698747187
0.048511435 0.399800100 0.048226199 0.399103574
0.018363310 0.175033607 0.018218652 0.175312317
0.052849782 0.309354242 0.052786146 0.309354037
0.002060435 0.047003069 0.002066155 0.046994162
0.030654630 0.198171727 0.030510773 0.198268774
0.009546789 0.655968722 0.009452116 0.656349953
0.049032670 0.412846018 0.049067904 0.413096569
0.095188828 0.316997553 0.095755255 0.316132212
0.017684435 0.470143343 0.017693082 0.470258928
0.059656139 0.715699264 0.059696462 0.270201578
0.018671510 0.311424421 0.018731959 0.311619462
0.140584869 0.568116615 0.142672307 0.570645244
0.152789986 0.524549269 0.848020353 0.524908523
0.033356952 0.706706355 0.033395139 0.706967160
0.042256619 0.377046607 0.045909635 0.374489779
0.011041926 0.359135405 0.011124975 0.359140794
0.048702239 0.434139158 0.047277703 0.433116054
0.450278903 0.296449839 0.396592817 0.258371957
0.056362542 0.446944912 0.056693491 0.447048492
0.047810635 0.787846619 0.047020295 0.788714070
0.064976962 0.341612960 0.067070677 0.346888434
0.534361179 0.766333810 0.484103758 0.813731982
0.149415671 0.597682956 0.150216940 0.597527777
0.279632529 0.346450153 0.271087083 0.336063888
0.023822211 0.606127684 0.023738985 0.606120828
0.029496722 0.661244427 0.029576330 0.661330149
0.013061698 0.168131039 0.013039857 0.168116987
0.059974147 0.390607252 0.060094991 0.391113882
0.023167756 0.201182061 0.022518014 0.196854585
0.020064630 0.813073964 0.020033109 0.813109020
0.399317059 0.373352154 0.395949011 0.373630761
0.075146721 0.455432644 0.136017670 0.505309824
0.068319765 0.493729795 0.068606948 0.493316075
0.051960897 0.649936901 0.053916183 0.665675628
0.040656837 0.743013631 0.040847815 0.746922375
0.108576046 0.725800380 0.109019008 0.727836958
0.030296195 0.473556688 0.030245887 0.475105743
0.020410799 0.765704258 0.020474791 0.766052684
0.028162673 0.197658429 0.015525846 0.181780291
0.522601823 0.395059504 0.525771931 0.392627347
0.078133276 0.359365369 0.077822531 0.359033909
0.009074385 0.025369949 0.009068095 0.025367946
0.074888045 0.326016278 0.075543826 0.326188308
0.070040983 0.212193834 0.070194623 0.212158533
0.078713827 0.291023943 0.079728390 0.291510761
0.120792531 0.391764132 0.120232435 0.391955620
0.040667899 0.222054309 0.040340575 0.221438491
0.044100340 0.376562971 0.044141595 0.376624816
0.062416732 0.621614046 0.061415002 0.622697496
0.036450632 0.442989273 0.036338698 0.447408799
0.029720756 0.821572455 0.030766889 0.821449362
0.081239155 0.352676155 0.081800344 0.351761430
0.029941234 0.585729154 0.029857330 0.586758907
0.064127337 0.213833788 0.060300323 0.211060537
0.088429162 0.532734012 0.089899160 0.533725960
0.038883029 0.281779311 0.038825473 0.281773420
0.042018573 0.845645614 0.042791698 0.847733372
0.125106260 0.142472326 0.112494869 0.133338339
0.008917284 0.312750061 0.008898684 0.312801524
0.038009540 0.198780898 0.038066549 0.198528615
0.046295348 0.645774829 0.046145752 0.646213586
0.022569633 0.166116277 0.023201425 0.166098731
0.046138975 0.667501039 0.048104152 0.671248356
0.050102309 0.440411583 0.050105898 0.440510321
0.087660385 0.626280035 0.092694832 0.628602922
0.414951889 0.441785226 0.430924099 0.448332676
0.038371542 0.697681295 0.038256029 0.697638568
0.026768885 0.178407663 0.026213124 0.178598506
0.077789367 0.503061956 0.077581034 0.503867752
0.016098852 0.433021982 0.016038532 0.432470536
0.109964706 0.568006034 0.110176979 0.568199877
0.061416887 0.504711396 0.062945306 0.507120173
0.048078976 0.276507183 0.047623762 0.276617623
0.013996505 0.266026695 0.014042997 0.266071982
0.009668690 0.049950380 0.009653412 0.048843550
0.012910291 0.848611996 0.012914271 0.848992181
0.113260559 0.434499524 0.112542023 0.433911374
0.066582738 0.815997148 0.066068323 0.816503940
0.052785831 0.836255681 0.050461593 0.839127281
0.015402099 0.607273229 0.014584425 0.606940439
0.059134588 0.249407093 0.064594725 0.236930615
0.043102518 0.175338745 0.043082034 0.175280366
0.057870318 0.476910051 0.060806754 0.480082352
0.388115014 0.562992215 0.371767032 0.564613231
0.080788172 0.445479098 0.084259179 0.453145756
0.022619925 0.247397778 0.023498675 0.246631234
0.024324010 0.732122512 0.024471583 0.732018444
0.040978310 0.550015413 0.040196770 0.549637773
0.019088760 0.224558133 0.019094255 0.224593039
0.087447023 0.413348646 0.088243362 0.414250780
0.045918294 0.117626315 0.048169525 0.113839838
0.029149594 0.274912017 0.029550543 0.275856766
0.032322899 0.660511266 0.031936529 0.661219143
0.067954966 0.624600233 0.067936798 0.625095254
0.198060818 0.286373847 0.202718766 0.290236169
0.021703521 0.241771255 0.021694042 0.241733313
0.004990896 0.168449214 0.004980850 0.168041499
0.062324511 0.257079312 0.062331671 0.257062953
0.092443165 0.390312188 0.091629177 0.388588831
0.176465396 0.519139091 0.180809001 0.516933168
0.107528649 0.678625812 0.109828570 0.679492517
0.023466603 0.108954002 0.023836081 0.109270999
0.055506116 0.569947945 0.070569930 0.571202817
0.059943709 0.621673123 0.057376423 0.627043261
0.135652930 0.370102947 0.145470009 0.359945226
0.038082636 0.732447623 0.037569718 0.734057650
0.075651353 0.782897728 0.075622459 0.783034743
0.053168632 0.209983878 0.052971821 0.209107975
0.022185707 0.795257717 0.022181564 0.795147783
0.021951334 0.156372074 0.021846886 0.156945818
0.035467370 0.234199314 0.034877851 0.234194248
0.036844460 0.555613979 0.033532887 0.553842252
0.037398932 0.678585453 0.037221474 0.678800119
0.087569620 0.533797453 0.087561672 0.533552819
0.035411624 0.138805324 0.035011149 0.137911005
0.120829606 0.589644455 0.116038215 0.585769853
0.028708832 0.239601987 0.029613739 0.240926884
0.075302958 0.856466684 0.076654412 0.858861802
0.026001732 0.228968171 0.025943527 0.228608214
0.050866302 0.116461875 0.052033395 0.113011305
0.084567452 0.532677484 0.084866570 0.532806905
0.044673991 0.403105545 0.041251895 0.404707946
0.083059252 0.500865498 0.082515635 0.503418341
0.140100757 0.319275178 0.139961227 0.319164825
0.262259749 0.795539461 0.262269547 0.795822069
0.038986546 0.793812309 0.039053221 0.794049983
0.032313831 0.366583537 0.033029934 0.363030658
0.145441849 0.318018221 0.127288029 0.331152608
0.052368252 0.750099915 0.052866430 0.750273150
0.032815439 0.713494752 0.032795220 0.714131910
0.048872701 0.355161778 0.049410372 0.356291854
0.139455355 0.538456335 0.145007279 0.534578943
0.069689378 0.256027166 0.070273759 0.254348783
0.106335416 0.242618573 0.109950857 0.245183365
0.039751779 0.454408293 0.039895573 0.454521559
0.099058327 0.337784280 0.098985388 0.337739869
0.041076658 0.800117687 0.040410170 0.801172927
0.050206255 0.284047917 0.051101662 0.284899008
0.119351251 0.764020982 0.116645716 0.766608855
0.004442380 0.025283948 0.004439502 0.025264653
0.029409741 0.654867479 0.029753794 0.658427441
0.043437556 0.235810549 0.982755382 0.232221617
0.125361062 0.758945121 0.124107416 0.771348043
0.062359097 0.555372587 0.062402176 0.555392329
0.511509183 0.740389531 0.444971405 0.757802787
0.411609453 0.960964588 0.360960655 0.984389550
0.019208713 0.624806001 0.019330871 0.625283473
0.033990551 0.261265061 0.032150979 0.258760785
0.044337019 0.699630888 0.044345768 0.700131954
0.048036993 0.492358768 0.050867205 0.493250775
0.058493010 0.611643323 0.059054687 0.612859107
0.095195806 0.269988592 0.094954182 0.270146906
0.208403335 0.658042511 0.209997355 0.657604473
0.056571345 0.238843701 0.056506891 0.238952880
0.010503212 0.061128432 0.010599655 0.060822210
0.060545828 0.552132649 0.061720809 0.553956096
0.085872323 0.471628886 0.086493878 0.472603360
0.405906994 0.495036401 0.385639619 0.485680533
0.502129886 0.943028203 0.529677526 0.046749715
0.053937244 0.499534425 0.054597172 0.499727784
0.045847345 0.360237029 0.046091899 0.360727331
0.034998874 0.842490541 0.034946768 0.842903960
0.258562268 0.897806183 0.258435686 0.894020931
0.038619593 0.707618381 0.038425951 0.707886670
0.017741402 0.477627659 0.017933260 0.479529277
0.015585254 0.330583486 0.015529654 0.330667871
0.035558373 0.800499738 0.035606514 0.803795541
0.062312724 0.496757738 0.062811384 0.499616824
0.062821791 0.437428074 0.063779044 0.438790477
0.038239166 0.332169079 0.037861962 0.331811031
0.159884594 0.323914130 0.157214934 0.323670560
0.046739272 0.637086513 0.047150734 0.637811664
0.044597994 0.659425243 0.045548061 0.659732042
0.056675986 0.467138543 0.055942535 0.466767696
0.069067365 0.662032095 0.070959300 0.662620776
0.131235962 0.754658143 0.121316527 0.762669626
0.254305562 0.326962233 0.286860978 0.335025184
0.018999865 0.343355933 0.019129307 0.343483714
0.057731949 0.690421394 0.057651836 0.690533057
0.036284437 0.321677663 0.036363326 0.321599747
0.037764522 0.578402433 0.037722162 0.578286777
0.045728789 0.699166028 0.045470099 0.699141938
0.528971519 0.452821547 0.526154623 0.447813100
0.025156742 0.267957547 0.025324275 0.268202112
0.022271798 0.146438556 0.022275474 0.146465938
0.101141789 0.395670388 0.099843414 0.394685599
0.026471347 0.190225430 0.026446739 0.190037218
0.082256246 0.083058427 0.087616456 0.087994632
0.036739664 0.471630256 0.036249148 0.472414825
0.039857073 0.803511426 0.039452038 0.804120311
0.326669293 0.457742122 0.325904952 0.457097762
0.050351605 0.453292895 0.052113188 0.455054520
0.471726834 0.488913536 0.477015722 0.486324929
0.091341913 0.311133141 0.932757465 0.689220871
0.120369954 0.692676381 0.120675615 0.694181343
0.279907372 0.392904176 0.278626781 0.373467075
0.147186957 0.470313284 0.147914019 0.470571041
0.020499419 0.158238333 0.020643735 0.158201931
0.050234414 0.546087102 0.050068186 0.545832956
0.083173488 0.332858186 0.083710346 0.333777650
0.025889536 0.218930513 0.025892197 0.218975228
0.107806176 0.563508362 0.127927362 0.567058648
0.100117858 0.374997117 0.099592902 0.375986320
0.096035015 0.245598253 0.095924369 0.245473573
0.864328432 0.301393384 0.863540626 0.301550372
0.189951892 0.330788064 0.171695176 0.326304961
0.013526909 0.074225073 0.012297490 0.071626990
0.214347809 0.260133760 0.214983241 0.259973548
0.031835142 0.120718968 0.031645169 0.120438387
0.022053676 0.289234680 0.022041008 0.289594261
0.166487189 0.672827441 0.164551303 0.673618441
0.034370994 0.380706891 0.033489231 0.380902789
0.060164400 0.261880616 0.060942707 0.262334977
0.046776652 0.717744764 0.046761693 0.717941773
0.065006211 0.342697599 0.064137930 0.341801827
0.070609547 0.644614594 0.045990806 0.661383978
0.021097915 0.217272232 0.020729646 0.217543805
0.040400374 0.159434913 0.041342681 0.159437983
0.099851249 0.510843828 0.101253022 0.511415861
0.100148727 0.363369696 0.099229610 0.362806616
0.074212364 0.441648143 0.075638236 0.442694721
0.047024950 0.393786581 0.046790161 0.395188382
0.163096878 0.634050152 0.173518376 0.631490847
0.095252139 0.719996733 0.094780391 0.720359811
0.031187763 0.299353019 0.031221269 0.301532288
0.027118226 0.593603083 0.027077912 0.593920226
0.027312661 0.282128441 0.027022015 0.284167667
0.068149760 0.541861385 0.063775168 0.472809558
0.036667481 0.245056439 0.042510960 0.244804990
0.033039360 0.566962658 0.032946984 0.567080179
0.645124115 0.421950168 0.634679548 0.419101754
0.007642343 0.101397274 0.007635181 0.101322508
0.063071832 0.306346376 0.066544665 0.306824996
0.021431419 0.141576029 0.021415339 0.141670635
0.032686476 0.518230568 0.032753559 0.518895102
0.038850966 0.321213257 0.038809053 0.321144429
0.023904481 0.155885606 0.023914792 0.155899080
0.045027818 0.340703458 0.045677784 0.340695000
0.057910972 0.267182625 0.057833090 0.267145153
0.287581265 0.359504608 0.286466540 0.360881575
0.057434208 0.259144356 0.060263015 0.259944272
0.063947716 0.664904691 0.064058576 0.665909389
0.036884633 0.313661456 0.037516764 0.314783278
0.350269585 0.383240213 0.358652068 0.381111582
0.067754053 0.225473160 0.068156735 0.225520604
0.067203597 0.796304848 0.068029640 0.796119376
0.075783107 0.421895494 0.046534049 0.425326086
0.031531640 0.673006860 0.031581052 0.673136422
0.048429394 0.720759834 0.048174230 0.720069440
0.032233187 0.409139779 0.032058178 0.408316427
0.061440255 0.575317789 0.062192672 0.575929128
0.058533469 0.351782743 0.057826794 0.351464995
0.212673782 0.449410254 0.483500769 0.368363386
0.037598702 0.561136295 0.037397309 0.561097019
0.100379153 0.321555039 0.099811825 0.321723505
0.021939399 0.132444159 0.022035642 0.132644916
0.034578519 0.327879183 0.034365133 0.327985807
0.009819869 0.120129058 0.009809444 0.120162855
0.051934578 0.740404965 0.051515171 0.743042517
0.084370800 0.367606579 0.083762571 0.367114042
0.313174007 0.508098427 0.309829056 0.503019735
0.193767548 0.702400030 0.194237699 0.702153583
0.054977237 0.300039686 0.055026328 0.300053570
0.025929954 0.858984342 0.025942328 0.859073392
0.054333837 0.408097912 0.054118968 0.408822272
0.277939361 0.314247417 0.279399912 0.313687714
0.068696219 0.547651495 0.068549579 0.547724193
0.040380866 0.382641267 0.040547557 0.382699143
0.048098393 0.220126486 0.047791110 0.221502278
0.057229478 0.321745464 0.057222816 0.321420838
0.051509317 0.544748030 0.051783530 0.545073209
0.217853501 0.338757745 0.218274512 0.338020097
0.077450185 0.372293025 0.076456208 0.372123858
0.118425357 0.614221416 0.124486175 0.613864833
0.066506293 0.191030283 0.067301634 0.192141088
0.110574439 0.359406096 0.110338454 0.359149529
0.043555732 0.156384125 0.043848016 0.156601347
0.061342409 0.443668099 0.061996107 0.443466284
0.019464697 0.332568266 0.019366806 0.332440719
0.056437217 0.790254995 0.055698142 0.793579879
