rot-8PA tran-8PA rot-n8PA tran-n8PA
0.004609267 0.009797148 0.004558781 0.009414561
0.015544365 0.046898558 0.014945421 0.045226633
0.002635776 0.003931797 0.002635345 0.003836709
0.003006292 0.003720790 0.002990885 0.003842388
0.010878723 0.003937552 0.011241134 0.002644444
0.011716004 0.010478772 0.011253752 0.009326996
0.012751068 0.016438093 0.013723599 0.017791541
0.004111653 0.008889701 0.004109254 0.008869697
0.007467247 0.019613904 0.007495747 0.019090175
0.008459139 0.013219114 0.007995825 0.012371567
0.004338328 0.008823648 0.004327910 0.008846159
0.046560721 0.067717855 0.047926824 0.066018710
0.007253725 0.000741582 0.006878771 0.000838354
0.031932878 0.053099945 0.040762327 0.066846755
0.006739032 0.001792671 0.006800076 0.001784810
0.007971325 0.014344837 0.007958198 0.014336802
0.019946241 0.066039409 0.019761569 0.065031567
0.013790194 0.026036282 0.014910599 0.027527354
0.010855995 0.008426008 0.011141630 0.008295358
0.009470202 0.009584732 0.009106793 0.009844586
0.010118880 0.019372933 0.010086249 0.019309605
0.008484396 0.006439936 0.008504402 0.006464229
0.005418599 0.004907525 0.005077697 0.005063083
0.005749106 0.012399311 0.005344354 0.011847487
0.001820546 0.005213379 0.002000418 0.005029046
0.005153608 0.005873632 0.004985277 0.005784397
0.009025143 0.008405319 0.008667146 0.007695291
0.009801224 0.012842286 0.009601168 0.012898947
0.002247235 0.004419543 0.002469586 0.004508365
0.003244387 0.004830853 0.003239910 0.004827440
0.003831558 0.006653974 0.003749327 0.006391431
0.009951596 0.008563420 0.009771455 0.009298736
0.009691891 0.006970544 0.010402944 0.008429117
0.009212152 0.012588305 0.009705442 0.013309265
0.001645446 0.004585620 0.001533752 0.004190089
0.010391485 0.006453690 0.009493836 0.005136187
0.001933493 0.002038198 0.002123134 0.002110978
0.009593237 0.002104876 0.009296301 0.002285455
0.002352293 0.002568347 0.002493404 0.002618117
0.057830192 0.131177923 0.053040562 0.122261772
0.001129386 0.002750699 0.001046638 0.002588707
0.009457740 0.011541035 0.008455391 0.010224106
0.010608395 0.015409737 0.010331607 0.015058781
0.012530521 0.015217234 0.012631334 0.015061599
0.008547298 0.002549038 0.008263868 0.002112942
0.008173053 0.016368479 0.008370044 0.016488994
0.006313315 0.009736976 0.006327383 0.009795001
0.009989597 0.014371563 0.009774450 0.013584441
0.004892773 0.009880334 0.004793968 0.009594439
